address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,listing_time,list_url,date_scraped
1200 S Ponce De Leon Ave NE UNIT A10,Atlanta,GA,30306,"$936,400",3,4,"2,268",33.77471,-84.348145,New construction,2081579651,Open: By appointment on...,https://www.zillow.com/homedetails/1200-S-Ponce-De-Leon-Ave-NE-UNIT-A10-Atlanta-GA-30306/2081579651_zpid/,06-10-2022_18:57:36
311 Peachtree Hills Ave NE APT 12E,Atlanta,GA,30305,"$279,000",2,1,"1,020",33.81585,-84.37765,Condo for sale,65467078,8 days on Zillow,https://www.zillow.com/homedetails/311-Peachtree-Hills-Ave-NE-APT-12E-Atlanta-GA-30305/65467078_zpid/,06-10-2022_18:57:36
1908 W Kimberly Rd SW,Atlanta,GA,30331,"$528,000",4,3,"2,200",33.70271,-84.5236,House for sale,65449655,8 days on Zillow,https://www.zillow.com/homedetails/1908-W-Kimberly-Rd-SW-Atlanta-GA-30331/65449655_zpid/,06-10-2022_18:57:36
383 Grant Cir NE #1613,Atlanta,GA,30315,"$684,900",2,2,"1,529",33.72538,-84.37593,New construction,2063004312,8 days on Zillow,https://www.zillow.com/homedetails/383-Grant-Cir-NE-1613-Atlanta-GA-30315/2063004312_zpid/,06-10-2022_18:57:36
B6 Plan,,,,"$699,900",2,2,"1,345",33.77537,-84.38254,New construction,2067491007,Open: M: 12:00 PM-5:00 ...,https://www.zillow.com/community/j5/2067491007_zpid/,06-10-2022_18:57:36
578 Goldsboro Rd NE APT D,Atlanta,GA,30307,"$239,900",2,1,840,33.770187,-84.343925,Condo for sale,2146946979,3D Homes Icon3D Tour,https://www.zillow.com/homedetails/578-Goldsboro-Rd-NE-APT-D-Atlanta-GA-30307/2146946979_zpid/,06-10-2022_18:57:36
51 Blackland Rd NW,Atlanta,GA,30342,"$7,750,000",7,9,"11,333",33.855835,-84.38618,New construction,35942408,8 days on Zillow,https://www.zillow.com/homedetails/51-Blackland-Rd-NW-Atlanta-GA-30342/35942408_zpid/,06-10-2022_18:57:36
1152 Oakland Dr SW,Atlanta,GA,30310,"$499,900",3,2,"1,400",33.72344,-84.42703,House for sale,35836185,8 days on Zillow,https://www.zillow.com/homedetails/1152-Oakland-Dr-SW-Atlanta-GA-30310/35836185_zpid/,06-10-2022_18:57:36
4411 Paces Battle NW,Atlanta,GA,30327,"$950,000",3,4,"4,989",33.865025,-84.45287,House for sale,35922068,Open: Sun. 3-5pm,https://www.zillow.com/homedetails/4411-Paces-Battle-NW-Atlanta-GA-30327/35922068_zpid/,06-10-2022_18:57:36
2762 Arbor Ave,Atlanta,GA,30317,"$585,000",3,2,"1,715",33.750492,-84.29651,House for sale,14465033,8 days on Zillow,https://www.zillow.com/homedetails/2762-Arbor-Ave-Atlanta-GA-30317/14465033_zpid/,06-10-2022_18:57:36
653 Bonaventure Ave NE APT 8,Atlanta,GA,30306,"$529,000",2,2,"1,254",33.77237,-84.36064,Condo for sale,65460868,8 days on Zillow,https://www.zillow.com/homedetails/653-Bonaventure-Ave-NE-APT-8-Atlanta-GA-30306/65460868_zpid/,06-10-2022_18:57:36
710 Mill Walk NW,Atlanta,GA,30327,"$739,900",3,5,"4,398",33.8422,-84.410484,Condo for sale,35911379,8 days on Zillow,https://www.zillow.com/homedetails/710-Mill-Walk-NW-Atlanta-GA-30327/35911379_zpid/,06-10-2022_18:57:36
3660 Peachtree Rd NE APT A8,Atlanta,GA,30319,"$267,000",2,2,"1,200",33.85479,-84.35621,Condo for sale,2090293693,"Price cut: $7,900 (Jun 2)",https://www.zillow.com/homedetails/3660-Peachtree-Rd-NE-APT-A8-Atlanta-GA-30319/2090293693_zpid/,06-10-2022_18:57:36
83 Park Cir NE,Atlanta,GA,30305,"$1,495,000",5,5,"3,708",33.841293,-84.36772,House for sale,35928563,Open: Sun. 2-4pm,https://www.zillow.com/homedetails/83-Park-Cir-NE-Atlanta-GA-30305/35928563_zpid/,06-10-2022_18:57:36
650 Moores Mill Rd NW #15,Atlanta,GA,30327,"$1,500,000",3,3,--,33.843315,-84.40876,Townhouse for sale,35911343,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/650-Moores-Mill-Rd-NW-15-Atlanta-GA-30327/35911343_zpid/,06-10-2022_18:57:36
3727 Tuxedo Rd NW,Atlanta,GA,30305,"$5,999,000",,,,33.857056,-84.392265,Lot / Land for sale,35902487,Play video iconVideo Walkthrough,https://www.zillow.com/homedetails/3727-Tuxedo-Rd-NW-Atlanta-GA-30305/35902487_zpid/,06-10-2022_18:57:36
309 Blackland Rd NW,Atlanta,GA,30342,"$6,250,000",6,9,"7,243",33.860264,-84.39764,House for sale,35907205,9 days on Zillow,https://www.zillow.com/homedetails/309-Blackland-Rd-NW-Atlanta-GA-30342/35907205_zpid/,06-10-2022_18:57:36
1875 Cambria Ave NW,Atlanta,GA,30318,"$725,000",4,4,"2,988",33.806503,-84.41916,House for sale,35915990,"Price cut: $25,000 (Jun 10)",https://www.zillow.com/homedetails/1875-Cambria-Ave-NW-Atlanta-GA-30318/35915990_zpid/,06-10-2022_18:57:36
1475 Hawthorne Ave NW,Atlanta,GA,30309,"$783,000",4,2,"2,160",33.795227,-84.40526,House for sale,35908983,9 days on Zillow,https://www.zillow.com/homedetails/1475-Hawthorne-Ave-NW-Atlanta-GA-30309/35908983_zpid/,06-10-2022_18:57:36
971 Laurel Ct NE,Atlanta,GA,30326,"$1,070,000",3,4,"2,448",33.849983,-84.35539,Townhouse for sale,2081499437,9 days on Zillow,https://www.zillow.com/homedetails/971-Laurel-Ct-NE-Atlanta-GA-30326/2081499437_zpid/,06-10-2022_18:57:36
842 White St SW,Atlanta,GA,30310,"$334,000",3,3,"2,366",33.731834,-84.41535,House for sale,35831591,9 days on Zillow,https://www.zillow.com/homedetails/842-White-St-SW-Atlanta-GA-30310/35831591_zpid/,06-10-2022_18:57:36
4772 Holly Grape Dr,Atlanta,GA,30331,"$495,000",5,4,"3,403",,,New construction,2063004984,9 days on Zillow,https://www.zillow.com/homedetails/4772-Holly-Grape-Dr-Atlanta-GA-30331/2063004984_zpid/,06-10-2022_18:57:36
870 Mayson Turner Rd NW UNIT 1423,Atlanta,GA,30314,"$184,900",2,2,"1,082",33.755898,-84.41711,Condo for sale,2132563973,9 days on Zillow,https://www.zillow.com/homedetails/870-Mayson-Turner-Rd-NW-UNIT-1423-Atlanta-GA-30314/2132563973_zpid/,06-10-2022_18:57:36
B-5 Plan,,,788,"$871,900",2,3,"1,790",33.77982,-84.414215,New construction,2075163627,Open: Th: 12:00 PM-5:00...,https://www.zillow.com/community/788-west-midtown/2075163627_zpid/,06-10-2022_18:57:36
188 Marion Pl,Atlanta,GA,30307,"$585,000",3,5,"2,468",33.758957,-84.345276,Townhouse for sale,112749005,9 days on Zillow,https://www.zillow.com/homedetails/188-Marion-Pl-Atlanta-GA-30307/112749005_zpid/,06-10-2022_18:57:36
4772 Holly Grape Dr #5,Atlanta,GA,30331,"$495,000",5,4,"3,403",,,New construction,2063005844,9 days on Zillow,https://www.zillow.com/homedetails/4772-Holly-Grape-Dr-5-Atlanta-GA-30331/2063005844_zpid/,06-10-2022_18:57:36
4751 Holly Grape Dr #13,Atlanta,GA,30331,"$558,915",6,5,"3,791",,,New construction,2063005915,9 days on Zillow,https://www.zillow.com/homedetails/4751-Holly-Grape-Dr-13-Atlanta-GA-30331/2063005915_zpid/,06-10-2022_18:57:36
270 17th St NW UNIT 3404,Atlanta,GA,30363,"$829,900",3,3,"2,152",33.790936,-84.39744,Condo for sale,2067019447,9 days on Zillow,https://www.zillow.com/homedetails/270-17th-St-NW-UNIT-3404-Atlanta-GA-30363/2067019447_zpid/,06-10-2022_18:57:36
0 Benjamin E Mays Dr SW,Atlanta,GA,30311,"$2,000,000",,,,33.723396,-84.46361,Lot / Land for sale,2082925438,9 days on Zillow,https://www.zillow.com/homedetails/0-Benjamin-E-Mays-Dr-SW-Atlanta-GA-30311/2082925438_zpid/,06-10-2022_18:57:36
4076 Waits Ave SW,Atlanta,GA,30331,"$39,900",,,"7,405",33.69271,-84.52264,Lot / Land for sale,249115897,9 days on Zillow,https://www.zillow.com/homedetails/4076-Waits-Ave-SW-Atlanta-GA-30331/249115897_zpid/,06-10-2022_18:57:36
975 Azalee Hester Wharton Way NW,Atlanta,GA,30318,"$849,000",5,4,"3,075",33.790802,-84.42022,House for sale,249123463,Open: Sat. 1-3pm,https://www.zillow.com/homedetails/975-Azalee-Hester-Wharton-Way-NW-Atlanta-GA-30318/249123463_zpid/,06-10-2022_18:57:36
3435 Kingsboro Rd NE APT 1201,Atlanta,GA,30326,"$400,000",2,2,"1,680",33.849358,-84.3586,Condo for sale,2063052545,10 days on Zillow,https://www.zillow.com/homedetails/3435-Kingsboro-Rd-NE-APT-1201-Atlanta-GA-30326/2063052545_zpid/,06-10-2022_18:57:36
1101 Juniper St NE APT 1504,Atlanta,GA,30309,"$415,000",2,2,"1,161",33.784767,-84.38186,Condo for sale,55019664,10 days on Zillow,https://www.zillow.com/homedetails/1101-Juniper-St-NE-APT-1504-Atlanta-GA-30309/55019664_zpid/,06-10-2022_18:57:36
