address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,listing_time,list_url,date_scraped
858 Thurmond St NW,Atlanta,GA,30314,"$145,000",,,"4,095",33.760242,-84.41563,Lot / Land for sale,82631023,18 days on Zillow,https://www.zillow.com/homedetails/858-Thurmond-St-NW-Atlanta-GA-30314/82631023_zpid/,06-10-2022_18:57:36
1383 Summer Ln SE,Atlanta,GA,30316,"$585,000",4,4,"2,388",33.715816,-84.35191,House for sale,2063177213,Open: Fri. 9am-7pm,https://www.zillow.com/homedetails/1383-Summer-Ln-SE-Atlanta-GA-30316/2063177213_zpid/,06-10-2022_18:57:36
120 Ralph McGill Blvd NE APT 708,Atlanta,GA,30308,"$332,800",2,2,"1,532",33.76478,-84.38357,Condo for sale,2128978377,Open: Sun. 2-5pm,https://www.zillow.com/homedetails/120-Ralph-McGill-Blvd-NE-APT-708-Atlanta-GA-30308/2128978377_zpid/,06-10-2022_18:57:36
655 W Paces Ferry Rd NW,Atlanta,GA,30327,"$4,999,750",8,9,--,,,New construction,2076564473,18 days on Zillow,https://www.zillow.com/homedetails/655-W-Paces-Ferry-Rd-NW-Atlanta-GA-30327/2076564473_zpid/,06-10-2022_18:57:36
316-316A Logan St SE,Atlanta,GA,30312,"$449,900",2,3,"1,381",33.74464,-84.38328,Townhouse for sale,2075173691,Open: Sat. 12-2pm,https://www.zillow.com/homedetails/316-316A-Logan-St-SE-Atlanta-GA-30312/2075173691_zpid/,06-10-2022_18:57:36
2924 3rd Ave SW,Atlanta,GA,30315,"$160,000",3,1,900,33.67566,-84.40617,House for sale,35892460,18 days on Zillow,https://www.zillow.com/homedetails/2924-3rd-Ave-SW-Atlanta-GA-30315/35892460_zpid/,06-10-2022_18:57:36
130 Putnam Cir NE,Atlanta,GA,30342,"$775,000",3,2,"1,872",33.860153,-84.384186,House for sale,35942359,"Price cut: $5,000 (May 31)",https://www.zillow.com/homedetails/130-Putnam-Cir-NE-Atlanta-GA-30342/35942359_zpid/,06-10-2022_18:57:36
500 Brentwood Dr NE,Atlanta,GA,30305,"$1,650,000",3,3,"3,358",33.831833,-84.3712,House for sale,35933079,21 days on Zillow,https://www.zillow.com/homedetails/500-Brentwood-Dr-NE-Atlanta-GA-30305/35933079_zpid/,06-10-2022_18:57:36
3325 Piedmont Rd NE UNIT 2701,Atlanta,GA,30305,"$835,000",3,3,"2,023",33.845165,-84.37151,Condo for sale,2088491422,21 days on Zillow,https://www.zillow.com/homedetails/3325-Piedmont-Rd-NE-UNIT-2701-Atlanta-GA-30305/2088491422_zpid/,06-10-2022_18:57:36
1 01 Daleview Dr,Atlanta,GA,30315,"$486,000",3,3,"1,804",33.70402,-84.388306,New construction,2082979074,21 days on Zillow,https://www.zillow.com/homedetails/1-01-Daleview-Dr-Atlanta-GA-30315/2082979074_zpid/,06-10-2022_18:57:36
57 Moury Ave SE,Atlanta,GA,30315,"$449,000",3,3,"2,100",33.712868,-84.38551,New construction,2095352273,21 days on Zillow,https://www.zillow.com/homedetails/57-Moury-Ave-SE-Atlanta-GA-30315/2095352273_zpid/,06-10-2022_18:57:36
1054 N Virginia Ave NE,Atlanta,GA,30306,"$1,375,000",5,5,"3,561",33.783443,-84.34974,House for sale,35895657,21 days on Zillow,https://www.zillow.com/homedetails/1054-N-Virginia-Ave-NE-Atlanta-GA-30306/35895657_zpid/,06-10-2022_18:57:36
3636 Habersham Rd NW APT 2207,Atlanta,GA,30305,"$329,900",2,2,"1,178",33.85332,-84.384254,Condo for sale,2065480360,"Price cut: $10,000 (Jun 6)",https://www.zillow.com/homedetails/3636-Habersham-Rd-NW-APT-2207-Atlanta-GA-30305/2065480360_zpid/,06-10-2022_18:57:36
102 Brighton Rd NE,Atlanta,GA,30309,"$2,890,000",6,7,"5,159",33.809353,-84.389755,House for sale,35900155,21 days on Zillow,https://www.zillow.com/homedetails/102-Brighton-Rd-NE-Atlanta-GA-30309/35900155_zpid/,06-10-2022_18:57:36
915 Amsterdam Ave NE,Atlanta,GA,30306,"$699,900",2,2,"1,030",33.787292,-84.357124,House for sale,35895052,"Price cut: $20,000 (Jun 1)",https://www.zillow.com/homedetails/915-Amsterdam-Ave-NE-Atlanta-GA-30306/35895052_zpid/,06-10-2022_18:57:36
400 17th St NW UNIT 2219,Atlanta,GA,30363,"$315,000",2,2,"1,275",33.789207,-84.402084,Condo for sale,2066267106,21 days on Zillow,https://www.zillow.com/homedetails/400-17th-St-NW-UNIT-2219-Atlanta-GA-30363/2066267106_zpid/,06-10-2022_18:57:36
