address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
(undisclosed Address),Austin,TX,78741,"$615,000",-,-,"1,855",,,Active,https://www.zillow.com/homedetails/Austin-TX-78741/29465401_zpid/,06-14-2022_12:28:11,29465401,"Price cut: $20,000 (Jun 11)"
4305 Banister Ln,Austin,TX,78745,"$685,000",3,2,"1,914",30.22661,-97.77982,Active,https://www.zillow.com/homedetails/4305-Banister-Ln-Austin-TX-78745/29478814_zpid/,06-14-2022_12:28:11,29478814,7 days on Zillow
809 Newman Dr,Austin,TX,78703,"$1,350,000",3,2,"1,574",30.284678,-97.77499,Active,https://www.zillow.com/homedetails/809-Newman-Dr-Austin-TX-78703/29330146_zpid/,06-14-2022_12:28:11,29330146,8 days on Zillow
10213 Cassandra Dr,Austin,TX,78717,"$725,000",4,3,"2,593",30.49274,-97.77199,Active,https://www.zillow.com/homedetails/10213-Cassandra-Dr-Austin-TX-78717/29603357_zpid/,06-14-2022_12:28:11,29603357,"Price cut: $40,000 (Jun 14)"
10518 Signal Hill Rd,Austin,TX,78737,"$1,525,000",3,2,"1,836",30.188074,-97.95856,Active,https://www.zillow.com/homedetails/10518-Signal-Hill-Rd-Austin-TX-78737/28602899_zpid/,06-14-2022_12:28:11,28602899,8 days on Zillow
10608 Glass Mountain Trl,Austin,TX,78750,"$1,150,000",5,4,"3,650",30.442268,-97.81368,Active,https://www.zillow.com/homedetails/10608-Glass-Mountain-Trl-Austin-TX-78750/29376230_zpid/,06-14-2022_12:28:11,29376230,"Price cut: $100,000 (Jun 10)"
7920 Rockwood Ln APT 224,Austin,TX,78757,"$322,900",2,2,992,30.360249,-97.73812,Active,https://www.zillow.com/homedetails/7920-Rockwood-Ln-APT-224-Austin-TX-78757/29426217_zpid/,06-14-2022_12:28:11,29426217,10 days on Zillow
2509 Pearl St APT 6,Austin,TX,78705,"$319,900",2,2,845,30.290092,-97.74642,Active,https://www.zillow.com/homedetails/2509-Pearl-St-APT-6-Austin-TX-78705/62576612_zpid/,06-14-2022_12:28:11,62576612,10 days on Zillow
4805 Woodview Ave,Austin,TX,78756,"$998,000",3,3,"1,664",30.321068,-97.7434,Active,https://www.zillow.com/homedetails/4805-Woodview-Ave-Austin-TX-78756/29409126_zpid/,06-14-2022_12:28:11,29409126,Play video iconVideo Walkthrough
4105 Canyon Glen Cir,Austin,TX,78732,"$850,000",4,3,"2,734",30.380358,-97.8879,Active,https://www.zillow.com/homedetails/4105-Canyon-Glen-Cir-Austin-TX-78732/29361454_zpid/,06-14-2022_12:28:11,29361454,10 days on Zillow
