address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
471 SE 72nd Ave,Portland,OR,97215,"$949,000",4,3,"2,907",45.519653,-122.58882,Active,https://www.zillow.com/homedetails/471-SE-72nd-Ave-Portland-OR-97215/53915186_zpid/,06-23-2022_21:20:34,53915186,17 hours ago
7734 SE Martins St,Portland,OR,97206,"$339,900",2,1,910,45.478725,-122.58337,Active,https://www.zillow.com/homedetails/7734-SE-Martins-St-Portland-OR-97206/53839770_zpid/,06-23-2022_21:20:34,53839770,Open: Fri. 3-5pm
3936 NE 14th Ave,Portland,OR,97212,"$575,000",3,2,"1,555",45.55134,-122.6515,Active,https://www.zillow.com/homedetails/3936-NE-14th-Ave-Portland-OR-97212/53919765_zpid/,06-23-2022_21:20:34,53919765,Open: Sat. 12-3pm
1430 SW Highland Pkwy,Portland,OR,97221,"$1,195,000",4,3,"2,141",45.51235,-122.72878,Active,https://www.zillow.com/homedetails/1430-SW-Highland-Pkwy-Portland-OR-97221/53981490_zpid/,06-23-2022_21:20:34,53981490,3D Homes Icon3D Tour
4242 SW Admiral St,Portland,OR,97221,"$669,900",4,3,"2,341",45.488174,-122.720856,Active,https://www.zillow.com/homedetails/4242-SW-Admiral-St-Portland-OR-97221/53871197_zpid/,06-23-2022_21:20:34,53871197,1 day on Zillow
5315 SE 74th Ave,Portland,OR,97206,"$515,000",3,3,"1,391",45.48414,-122.58688,Active,https://www.zillow.com/homedetails/5315-SE-74th-Ave-Portland-OR-97206/53931297_zpid/,06-23-2022_21:20:34,53931297,Open: Sat. 1-4pm
5022 SE Franklin St,Portland,OR,97206,"$724,000",3,2,"2,241",45.49871,-122.61071,Active,https://www.zillow.com/homedetails/5022-SE-Franklin-St-Portland-OR-97206/53847386_zpid/,06-23-2022_21:20:34,53847386,1 day on Zillow
737 SE 151st Ave,Portland,OR,97233,"$429,000",3,2,"1,321",45.516823,-122.508446,Active,https://www.zillow.com/homedetails/737-SE-151st-Ave-Portland-OR-97233/54008458_zpid/,06-23-2022_21:20:34,54008458,1 day on Zillow
5656 N Wilbur Ave,Portland,OR,97217,"$574,900",3,2,"2,146",45.564404,-122.69326,Active,https://www.zillow.com/homedetails/5656-N-Wilbur-Ave-Portland-OR-97217/53986044_zpid/,06-23-2022_21:20:34,53986044,Open: Sat. 11am-1pm
328 SE 139th Ave,Portland,OR,97233,"$510,000",4,2,"2,982",45.520126,-122.52069,Active,https://www.zillow.com/homedetails/328-SE-139th-Ave-Portland-OR-97233/54008476_zpid/,06-23-2022_21:20:34,54008476,Open: Sat. 1-3pm
9025 N Berkeley Ave,Portland,OR,97203,"$450,000",4,1,"2,072",45.588352,-122.725685,Active,https://www.zillow.com/homedetails/9025-N-Berkeley-Ave-Portland-OR-97203/53936983_zpid/,06-23-2022_21:20:34,53936983,Open: Sat. 11am-2pm
1304 SE Ash St APT B,Portland,OR,97214,"$429,000",2,1,"1,076",45.521393,-122.65247,Active,https://www.zillow.com/homedetails/1304-SE-Ash-St-APT-B-Portland-OR-97214/53868930_zpid/,06-23-2022_21:20:34,53868930,3D Homes Icon3D Tour
420 SE 109th Ave,Portland,OR,97216,"$425,000",3,1,"1,186",45.51939,-122.55102,Active,https://www.zillow.com/homedetails/420-SE-109th-Ave-Portland-OR-97216/53848107_zpid/,06-23-2022_21:20:34,53848107,2 days on Zillow
7128 NE Sumner St,Portland,OR,97218,"$525,000",4,2,"1,744",45.559776,-122.58965,Active,https://www.zillow.com/homedetails/7128-NE-Sumner-St-Portland-OR-97218/53924963_zpid/,06-23-2022_21:20:34,53924963,Open: Sat. 11am-1pm
1067 NE Oneonta St,Portland,OR,97211,"$559,000",3,1,"1,144",45.573475,-122.654594,Active,https://www.zillow.com/homedetails/1067-NE-Oneonta-St-Portland-OR-97211/53990398_zpid/,06-23-2022_21:20:34,53990398,2 days on Zillow
Hawthorn Plan,,,,"$1,020,990",5,3,"2,914",45.57359,-122.83183,New construction,https://www.zillow.com/community/ridgeline-at-bethany-legacy-series/2062764024_zpid/,06-23-2022_21:20:34,2062764024,Open: Fri:10AM-6PM;Mon:...
8422 N Seneca St,Portland,OR,97203,"$499,000",3,2,"1,202",45.595524,-122.74997,Active,https://www.zillow.com/homedetails/8422-N-Seneca-St-Portland-OR-97203/53940338_zpid/,06-23-2022_21:20:34,53940338,2 days on Zillow
7801 SE 162nd Ave,Portland,OR,97236,"$600,000",3,2,"2,924",45.46661,-122.497314,Active,https://www.zillow.com/homedetails/7801-SE-162nd-Ave-Portland-OR-97236/54004326_zpid/,06-23-2022_21:20:34,54004326,2 days on Zillow
7035 SE Alberta Ave,Portland,OR,97206,"$399,900",2,2,970,45.45859,-122.59151,Active,https://www.zillow.com/homedetails/7035-SE-Alberta-Ave-Portland-OR-97206/2062669084_zpid/,06-23-2022_21:20:34,2062669084,2 days on Zillow
2627 SE 79th Ave,Portland,OR,97206,"$439,900",2,1,924,45.503765,-122.58219,Active,https://www.zillow.com/homedetails/2627-SE-79th-Ave-Portland-OR-97206/53827347_zpid/,06-23-2022_21:20:34,53827347,2 days on Zillow
11535 NW Damascus St,Portland,OR,97229,"$750,000",4,3,"3,014",45.53349,-122.79566,Active,https://www.zillow.com/homedetails/11535-NW-Damascus-St-Portland-OR-97229/48615709_zpid/,06-23-2022_21:20:34,48615709,Open: Fri. 4-6pm
4910 SE Caruthers St,Portland,OR,97215,"$639,000",,,"4,792",45.505795,-122.61182,Active,https://www.zillow.com/homedetails/4910-SE-Caruthers-St-Portland-OR-97215/248440962_zpid/,06-23-2022_21:20:34,248440962,3 days on Zillow
