address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id
3021 Berry Creek Rd,Charlotte,NC,28214,"$475,000",4,3,"2,183",35.2873,-80.98056,House for sale,https://www.zillow.com/homedetails/3021-Berry-Creek-Rd-Charlotte-NC-28214/299908268_zpid/,06-23-2022_21:45:40,299908268
5921 Prescott Ct,Charlotte,NC,28269,"$268,500",3,3,"1,500",35.328854,-80.79792,Coming soon,https://www.zillow.com/homedetails/5921-Prescott-Ct-Charlotte-NC-28269/6143224_zpid/,06-23-2022_21:45:40,6143224
4132 Sulkirk Rd,Charlotte,NC,28210,"$645,000",3,2,"2,047",35.139133,-80.838974,House for sale,https://www.zillow.com/homedetails/4132-Sulkirk-Rd-Charlotte-NC-28210/6266223_zpid/,06-23-2022_21:45:40,6266223
9813 Adison Gray Ln,Charlotte,NC,28270,"$739,900",4,4,"3,544",35.075497,-80.769226,House for sale,https://www.zillow.com/homedetails/9813-Adison-Gray-Ln-Charlotte-NC-28270/65040482_zpid/,06-23-2022_21:45:40,65040482
Buchanan Plan,,,,"$423,990",3,2,"1,542",35.231968,-81.00046,New construction,https://www.zillow.com/community/solena-at-vineyards/2076656047_zpid/,06-23-2022_21:45:40,2076656047
2002 Pleasant Dale Dr,Charlotte,NC,28214,"$295,000",3,2,"1,222",35.264458,-80.97356,House for sale,https://www.zillow.com/homedetails/2002-Pleasant-Dale-Dr-Charlotte-NC-28214/80445579_zpid/,06-23-2022_21:45:40,80445579
Dunmore Plan,,,,"$1,345,990",5,5,"4,087",35.1146,-80.76372,New construction,https://www.zillow.com/community/deerfield/2068645498_zpid/,06-23-2022_21:45:40,2068645498
Buchanan Plan,,,,"$419,990",3,2,"1,542",35.238873,-80.64708,New construction,https://www.zillow.com/community/larkhaven-hills-piedmont-series/2077726530_zpid/,06-23-2022_21:45:40,2077726530
Stanton Plan,,,,"$1,083,362",4,4,"3,652",35.12001,-80.75749,New construction,https://www.zillow.com/community/fawn-hollow/2068645501_zpid/,06-23-2022_21:45:40,2068645501
2230 Dickens Ave,Charlotte,NC,28208,"$375,000",3,2,"1,667",35.23226,-80.89388,House for sale,https://www.zillow.com/homedetails/2230-Dickens-Ave-Charlotte-NC-28208/6178649_zpid/,06-23-2022_21:45:40,6178649
