address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
7814 NW 5th Ct,Miami,FL,33150,"$425,000",-,-,"1,287",25.846441,-80.20654,Multi-family home for sale,43806611,https://www.zillow.com/homedetails/7814-NW-5th-Ct-Miami-FL-33150/43806611_zpid/,06-10-2022_19:21:10
1 Grove Isle Dr #A1108,Miami,FL,33133,"$1,750,000",2,2,"1,642",25.735134,-80.21957,Condo for sale,43854193,https://www.zillow.com/homedetails/1-Grove-Isle-Dr-A1108-Miami-FL-33133/43854193_zpid/,06-10-2022_19:21:10
2430 SW 25th Ter,Miami,FL,33133,"$950,000",-,-,"1,889",25.744179,-80.234604,Multi-family home for sale,43854729,https://www.zillow.com/homedetails/2430-SW-25th-Ter-Miami-FL-33133/43854729_zpid/,06-10-2022_19:21:10
1451 Brickell Ave UNIT 2004,Miami,FL,33131,"$848,000",1,2,788,25.758121,-80.1924,Condo for sale,247649715,https://www.zillow.com/homedetails/1451-Brickell-Ave-UNIT-2004-Miami-FL-33131/247649715_zpid/,06-10-2022_19:21:10
3188 Via Abitare Way #16,Miami,FL,33133,"$2,195,000",2,3,"2,427",25.725029,-80.242836,Townhouse for sale,43862179,https://www.zillow.com/homedetails/3188-Via-Abitare-Way-16-Miami-FL-33133/43862179_zpid/,06-10-2022_19:21:10
1 Bedroom Select (L25-27) R10 Plan,,,,"$1,044,320",1,1,572,25.779041,-80.18936,New construction,2063051714,https://www.zillow.com/community/society-residences-miami/2063051714_zpid/,06-10-2022_19:21:10
1451 Brickell Ave UNIT 1203,Miami,FL,33131,"$1,450,000",2,3,"1,137",25.758121,-80.1924,Condo for sale,247679145,https://www.zillow.com/homedetails/1451-Brickell-Ave-UNIT-1203-Miami-FL-33131/247679145_zpid/,06-10-2022_19:21:10
(undisclosed Address),Miami,FL,33130,"$650,000",2,2,"1,099",,,Condo for sale,2075678611,https://www.zillow.com/homedetails/Miami-FL-33130/2075678611_zpid/,06-10-2022_19:21:10
10 SW South River Dr APT 1402,Miami,FL,33130,"$479,000",2,1,867,25.773348,-80.20214,Condo for sale,63614863,https://www.zillow.com/homedetails/10-SW-South-River-Dr-APT-1402-Miami-FL-33130/63614863_zpid/,06-10-2022_19:21:10
888 Biscayne Blvd APT 3905,Miami,FL,33132,"$795,000",2,2,"1,322",25.782686,-80.18983,Condo for sale,87938550,https://www.zillow.com/homedetails/888-Biscayne-Blvd-APT-3905-Miami-FL-33132/87938550_zpid/,06-10-2022_19:21:10
850 N Miami Ave #1105,Miami,FL,33136,"$280,000",1,1,689,25.782309,-80.19491,Condo for sale,72565638,https://www.zillow.com/homedetails/850-N-Miami-Ave-1105-Miami-FL-33136/72565638_zpid/,06-10-2022_19:21:10
851 NE 1st Ave UNIT 1005,Miami,FL,33132,"$859,000",1,2,"1,244",25.782516,-80.19177,Condo for sale,337201389,https://www.zillow.com/homedetails/851-NE-1st-Ave-UNIT-1005-Miami-FL-33132/337201389_zpid/,06-10-2022_19:21:10
850 N Miami Ave #W-1601,Miami,FL,33136,"$305,000",1,1,593,25.782309,-80.19491,Condo for sale,2065429623,https://www.zillow.com/homedetails/850-N-Miami-Ave-W-1601-Miami-FL-33136/2065429623_zpid/,06-10-2022_19:21:10
