address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
2124 N Lottie Avenue,Oklahoma City,OK,73111,"$245,000",3,2,"1,334",35.49047,-97.48919,House for sale,https://www.zillow.com/homedetails/2124-N-Lottie-Ave-Oklahoma-City-OK-73111/21843357_zpid/,06-23-2022_21:41:29,21843357,"Price cut: $5,000 (Jun 22)"
226 NE 14th Street,Oklahoma City,OK,73104,"$469,995",3,3,"2,213",35.483234,-97.5075,House for sale,https://www.zillow.com/homedetails/226-NE-14th-St-Oklahoma-City-OK-73104/21844062_zpid/,06-23-2022_21:41:29,21844062,13 days on Zillow
5917 SE 86th Street,Oklahoma City,OK,73135,"$219,000",4,2,"1,829",35.379627,-97.41889,House for sale,https://www.zillow.com/homedetails/5917-SE-86th-St-Oklahoma-City-OK-73135/21939881_zpid/,06-23-2022_21:41:29,21939881,"Price cut: $6,000 (Jun 23)"
Thatcher Plan,,,,"$436,386",3,3,"2,888",35.30897,-97.54716,New construction,https://www.zillow.com/community/native-plains/2067023127_zpid/,06-23-2022_21:41:29,2067023127,Open: M: 1:00 PM-6:00 P...
1010 NW 35th Street,Oklahoma City,OK,73118,"$340,000",3,2,"1,719",35.506092,-97.52914,House for sale,https://www.zillow.com/homedetails/1010-NW-35th-St-Oklahoma-City-OK-73118/21848618_zpid/,06-23-2022_21:41:29,21848618,"Price cut: $10,000 (Jun 15)"
14800 Adelaide Lane,Oklahoma City,OK,73142,"$449,900",4,3,"2,501",35.621403,-97.63315,New construction,https://www.zillow.com/homedetails/14800-Adelaide-Ln-Oklahoma-City-OK-73142/331713255_zpid/,06-23-2022_21:41:29,331713255,14 days on Zillow
33 NE 7th Street,Oklahoma City,OK,73104,"$2,000,000",2,2,"2,336",35.475246,-97.510635,House for sale,https://www.zillow.com/homedetails/33-NE-7th-St-Oklahoma-City-OK-73104/69143044_zpid/,06-23-2022_21:41:29,69143044,"Price cut: $250,000 (Jun 13)"
4212 NW 17th Street,Oklahoma City,OK,73107,"$159,900",2,1,929,35.487232,-97.59518,House for sale,https://www.zillow.com/homedetails/4212-NW-17th-St-Oklahoma-City-OK-73107/21909992_zpid/,06-23-2022_21:41:29,21909992,14 days on Zillow
6601 NW 150th Terrace,Oklahoma City,OK,73142,"$394,900",4,2,"2,147",35.623318,-97.63133,New construction,https://www.zillow.com/homedetails/6601-NW-150th-Ter-Oklahoma-City-OK-73142/331713276_zpid/,06-23-2022_21:41:29,331713276,14 days on Zillow
Emma Plan,,,,"$650,000",4,3,"3,077",35.340263,-97.59868,New construction,https://www.zillow.com/community/preserve-at-parkside/2066474627_zpid/,06-23-2022_21:41:29,2066474627,Open: Thursday-Monday f...
8916 NW 111th Street,Oklahoma City,OK,73162,"$328,000",3,3,"2,149",35.584076,-97.67298,House for sale,https://www.zillow.com/homedetails/8916-NW-111th-St-Oklahoma-City-OK-73162/69166085_zpid/,06-23-2022_21:41:29,69166085,"Price cut: $1,000 (Jun 21)"
Hummingbird Bonus Room 2 Plan,,,,"$417,340",4,3,"2,250",35.41321,-97.70665,New construction,https://www.zillow.com/community/canyons/2070281780_zpid/,06-23-2022_21:41:29,2070281780,3D Homes Icon3D Tour
9409 SW 48th Terrace,Oklahoma City,OK,73179,"$408,480",4,3,"2,208",35.41735,-97.671844,House for sale,https://www.zillow.com/homedetails/9409-SW-48th-Ter-Oklahoma-City-OK-73179/2062973940_zpid/,06-23-2022_21:41:29,2062973940,18 days on Zillow
9408 SW 48th Terrace,Oklahoma City,OK,73179,"$432,345",4,3,"2,337",35.41735,-97.671844,House for sale,https://www.zillow.com/homedetails/9408-SW-48th-Ter-Oklahoma-City-OK-73179/2062973941_zpid/,06-23-2022_21:41:29,2062973941,18 days on Zillow
9416 SW 48th Terrace,Oklahoma City,OK,73179,"$449,900",4,3,"2,442",35.41735,-97.671844,House for sale,https://www.zillow.com/homedetails/9416-SW-48th-Ter-Oklahoma-City-OK-73179/2062973958_zpid/,06-23-2022_21:41:29,2062973958,18 days on Zillow
14901 Daventry Drive,Jones,OK,73049,"$495,000",3,3,"2,722",35.622215,-97.34891,House for sale,https://www.zillow.com/homedetails/14901-Daventry-Dr-Jones-OK-73049/331713659_zpid/,06-23-2022_21:41:29,331713659,"Price cut: $5,000 (Jun 15)"
2729 NW 58th Place,Oklahoma City,OK,73112,"$450,000",4,4,"2,976",35.531773,-97.5629,Multi-family home for sale,https://www.zillow.com/homedetails/2729-NW-58th-Pl-Oklahoma-City-OK-73112/21908793_zpid/,06-23-2022_21:41:29,21908793,18 days on Zillow
Kingsley Plan,,,,"$340,000",3,2,"1,965",35.3057,-97.536644,New construction,https://www.zillow.com/community/featherstone/2070777803_zpid/,06-23-2022_21:41:29,2070777803,Open: M: 1:00 PM-6:00 P...
Mallory Plan,,,,"$404,340",4,2,"2,100",35.41321,-97.70665,New construction,https://www.zillow.com/community/canyons/2070281766_zpid/,06-23-2022_21:41:29,2070281766,3D Homes Icon3D Tour
2109 NW 59th Place,Oklahoma City,OK,73112,"$425,000",3,3,"2,144",35.533585,-97.54842,House for sale,https://www.zillow.com/homedetails/2109-NW-59th-Pl-Oklahoma-City-OK-73112/21855993_zpid/,06-23-2022_21:41:29,21855993,18 days on Zillow
10501 N Shartel Avenue,Oklahoma City,OK,73114,"$69,900",,,,35.576412,-97.52501,Lot / Land for sale,https://www.zillow.com/homedetails/10501-N-Shartel-Ave-Oklahoma-City-OK-73114/21949492_zpid/,06-23-2022_21:41:29,21949492,20 days on Zillow
1400 NW 88th Street,Oklahoma City,OK,73114,"$110,000",3,2,"1,082",35.560345,-97.53748,House for sale,https://www.zillow.com/homedetails/1400-NW-88th-St-Oklahoma-City-OK-73114/21948461_zpid/,06-23-2022_21:41:29,21948461,21 days on Zillow
2708 SW 125th Street,Oklahoma City,OK,73170,"$798,000",4,4,"4,996",35.341545,-97.56056,House for sale,https://www.zillow.com/homedetails/2708-SW-125th-St-Oklahoma-City-OK-73170/21756263_zpid/,06-23-2022_21:41:29,21756263,21 days on Zillow
1508 NE 39th Street,Oklahoma City,OK,73111,"$229,900",3,2,"1,799",35.509697,-97.4848,House for sale,https://www.zillow.com/homedetails/1508-NE-39th-St-Oklahoma-City-OK-73111/21882155_zpid/,06-23-2022_21:41:29,21882155,21 days on Zillow
8304 Waverly Avenue,Oklahoma City,OK,73120,"$1,299,000",5,4,"5,625",,,House for sale,https://www.zillow.com/homedetails/8304-Waverly-Ave-Oklahoma-City-OK-73114/2067029990_zpid/,06-23-2022_21:41:29,2067029990,21 days on Zillow
8324 SW 110th Street,Oklahoma City,OK,73173,"$125,000",,,,35.35691,-97.66033,Lot / Land for sale,https://www.zillow.com/homedetails/8324-SW-110th-St-Oklahoma-City-OK-73173/305539662_zpid/,06-23-2022_21:41:29,305539662,21 days on Zillow
7416 NW 159th Terrace,Edmond,OK,73013,"$491,900",5,3,"2,411",35.55152,-97.4072,House for sale,https://www.zillow.com/homedetails/7416-NW-159th-Ter-Edmond-OK-73013/331714277_zpid/,06-23-2022_21:41:29,331714277,21 days on Zillow
4800 Foster Rd LOT 157,Oklahoma City,OK,73129,"$27,900",2,1,728,35.416916,-97.47179,Home for sale,https://www.zillow.com/homedetails/4800-Foster-Rd-LOT-157-Oklahoma-City-OK-73129/2063009286_zpid/,06-23-2022_21:41:29,2063009286,21 days on Zillow
4600 N Mayfair Drive,Oklahoma City,OK,73112,"$259,000",3,2,"1,602",35.517395,-97.56517,House for sale,https://www.zillow.com/homedetails/4600-N-Mayfair-Dr-Oklahoma-City-OK-73112/21857314_zpid/,06-23-2022_21:41:29,21857314,"Price cut: $16,000 (Jun 21)"
