address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
2738 Wilkens Ave,Baltimore,MD,21223,"$92,000",3,1,"1,183",39.27794,-76.65974,Townhouse for sale,https://www.zillow.com/homedetails/2738-Wilkens-Ave-Baltimore-MD-21223/36525643_zpid/,06-23-2022_21:52:58,36525643,18 days on Zillow
713 S Hanover St,Baltimore,MD,21230,"$400,000",3,4,"1,560",39.2806,-76.61557,Townhouse for sale,https://www.zillow.com/homedetails/713-S-Hanover-St-Baltimore-MD-21230/36536057_zpid/,06-23-2022_21:52:58,36536057,3D Homes Icon3D Tour
2714 Bookert Dr,Baltimore,MD,21225,"$125,000",2,1,756,39.24831,-76.627686,Townhouse for sale,https://www.zillow.com/homedetails/2714-Bookert-Dr-Baltimore-MD-21225/36550232_zpid/,06-23-2022_21:52:58,36550232,18 days on Zillow
307 Drew St,Baltimore,MD,21224,"$220,000",2,2,"1,460",39.290314,-76.54367,Townhouse for sale,https://www.zillow.com/homedetails/307-Drew-St-Baltimore-MD-21224/36563388_zpid/,06-23-2022_21:52:58,36563388,18 days on Zillow
1419 Madison Ave,Baltimore,MD,21217,"$275,000",6,2,--,39.30461,-76.62834,Townhouse for sale,https://www.zillow.com/homedetails/1419-Madison-Ave-Baltimore-MD-21217/36488300_zpid/,06-23-2022_21:52:58,36488300,19 days on Zillow
1513 N Ellamont St,Baltimore,MD,21216,"$105,000",3,2,"1,700",39.30479,-76.67041,Townhouse for sale,https://www.zillow.com/homedetails/1513-N-Ellamont-St-Baltimore-MD-21216/36512176_zpid/,06-23-2022_21:52:58,36512176,"Price cut: $5,000 (Jun 16)"
113 Welcome Aly,Baltimore,MD,21201,"$289,000",2,1,900,39.28252,-76.616585,Townhouse for sale,https://www.zillow.com/homedetails/113-Welcome-Aly-Baltimore-MD-21201/36535852_zpid/,06-23-2022_21:52:58,36535852,Play video iconVideo Walkthrough
4010 Chesley Ave,Baltimore,MD,21206,"$379,900",4,3,"2,688",39.359047,-76.5305,House for sale,https://www.zillow.com/homedetails/4010-Chesley-Ave-Baltimore-MD-21206/36584247_zpid/,06-23-2022_21:52:58,36584247,"Price cut: $5,000 (Jun 20)"
4100 N Charles St UNIT 201,Baltimore,MD,21218,"$495,000",2,2,"1,902",39.339,-76.6191,Condo for sale,https://www.zillow.com/homedetails/4100-N-Charles-St-UNIT-201-Baltimore-MD-21218/36471454_zpid/,06-23-2022_21:52:58,36471454,21 days on Zillow
430 Whitridge Ave,Baltimore,MD,21218,"$159,500",3,2,"1,344",39.32171,-76.61024,Townhouse for sale,https://www.zillow.com/homedetails/430-Whitridge-Ave-Baltimore-MD-21218/36475719_zpid/,06-23-2022_21:52:58,36475719,21 days on Zillow
1701 Druid Hill Ave,Baltimore,MD,21217,"$120,000",4,2,--,39.30534,-76.63238,Townhouse for sale,https://www.zillow.com/homedetails/1701-Druid-Hill-Ave-Baltimore-MD-21217/36488457_zpid/,06-23-2022_21:52:58,36488457,21 days on Zillow
1433 N Fulton Ave,Baltimore,MD,21217,"$10,000",2,1,--,39.304905,-76.645836,Auction,https://www.zillow.com/homedetails/1433-N-Fulton-Ave-Baltimore-MD-21217/36492731_zpid/,06-23-2022_21:52:58,36492731,21 days on Zillow
2106 Whittier Ave,Baltimore,MD,21217,"$234,999",3,3,"1,997",39.315514,-76.64993,Townhouse for sale,https://www.zillow.com/homedetails/2106-Whittier-Ave-Baltimore-MD-21217/36495836_zpid/,06-23-2022_21:52:58,36495836,"Price cut: $5,000 (Jun 22)"
2424 Liberty Heights Ave,Baltimore,MD,21215,"$308,999",6,5,--,39.31927,-76.65462,Townhouse for sale,https://www.zillow.com/homedetails/2424-Liberty-Heights-Ave-Baltimore-MD-21215/36501578_zpid/,06-23-2022_21:52:58,36501578,"Price cut: $17,112 (Jun 16)"
2910 Norfolk Ave,Baltimore,MD,21215,"$97,000",4,1,--,39.327778,-76.66143,House for sale,https://www.zillow.com/homedetails/2910-Norfolk-Ave-Baltimore-MD-21215/36501885_zpid/,06-23-2022_21:52:58,36501885,21 days on Zillow
3400 Park Heights Ave,Baltimore,MD,21215,"$650,000",5,2,--,39.32607,-76.65789,Townhouse for sale,https://www.zillow.com/homedetails/3400-Park-Heights-Ave-Baltimore-MD-21215/36502336_zpid/,06-23-2022_21:52:58,36502336,21 days on Zillow
1011 Mount Holly St,Baltimore,MD,21229,"$225,900",4,2,"1,290",39.299053,-76.67981,Townhouse for sale,https://www.zillow.com/homedetails/1011-Mount-Holly-St-Baltimore-MD-21229/36511053_zpid/,06-23-2022_21:52:58,36511053,"Price cut: $4,000 (Jun 21)"
801 Key Hwy UNIT 358,Baltimore,MD,21230,"$429,900",1,2,"1,521",39.280544,-76.60602,Condo for sale,https://www.zillow.com/homedetails/801-Key-Hwy-UNIT-358-Baltimore-MD-21230/92202276_zpid/,06-23-2022_21:52:58,92202276,21 days on Zillow
815 1/2 McHenry St,Baltimore,MD,21230,"$325,000",4,4,"1,692",39.284668,-76.63079,Townhouse for sale,https://www.zillow.com/homedetails/815-1-2-McHenry-St-Baltimore-MD-21230/2094973312_zpid/,06-23-2022_21:52:58,2094973312,3D Homes Icon3D Tour
406 Grundy St,Baltimore,MD,21224,"$359,900",3,4,"1,600",39.287518,-76.56364,Townhouse for sale,https://www.zillow.com/homedetails/406-Grundy-St-Baltimore-MD-21224/118501732_zpid/,06-23-2022_21:52:58,118501732,"Price cut: $15,000 (Jun 18)"
815 McHenry 1/2 St,Baltimore,MD,21230,"$325,000",4,4,"1,692",,,Townhouse for sale,https://www.zillow.com/homedetails/815-McHenry-1-2-St-Baltimore-MD-21230/2063021899_zpid/,06-23-2022_21:52:58,2063021899,3D Homes Icon3D Tour
832 S Bond St,Baltimore,MD,21231,"$1,149,333",-,-,"3,437",39.28156,-76.59536,Multi-family home for sale,https://www.zillow.com/homedetails/832-S-Bond-St-Baltimore-MD-21231/36437561_zpid/,06-23-2022_21:52:58,36437561,22 days on Zillow
630 N Streeper St,Baltimore,MD,21205,"$45,000",3,1,--,39.29856,-76.57751,Townhouse for sale,https://www.zillow.com/homedetails/630-N-Streeper-St-Baltimore-MD-21205/36445378_zpid/,06-23-2022_21:52:58,36445378,22 days on Zillow
2018 E Lafayette Ave,Baltimore,MD,21213,"$64,000",3,1,--,39.31105,-76.5898,Townhouse for sale,https://www.zillow.com/homedetails/2018-E-Lafayette-Ave-Baltimore-MD-21213/36448650_zpid/,06-23-2022_21:52:58,36448650,22 days on Zillow
1403 N Bond St,Baltimore,MD,21213,"$220,000",3,3,--,39.306557,-76.59646,Townhouse for sale,https://www.zillow.com/homedetails/1403-N-Bond-St-Baltimore-MD-21213/36449858_zpid/,06-23-2022_21:52:58,36449858,22 days on Zillow
1118 W 38th St,Baltimore,MD,21211,"$200,000",2,3,"1,292",39.33421,-76.635376,Auction,https://www.zillow.com/homedetails/1118-W-38th-St-Baltimore-MD-21211/36479489_zpid/,06-23-2022_21:52:58,36479489,Open: Wed. 1-2pm
1025 Church St,Baltimore,MD,21225,"$160,000",3,2,"1,020",39.221718,-76.59637,Townhouse for sale,https://www.zillow.com/homedetails/1025-Church-St-Baltimore-MD-21225/36554728_zpid/,06-23-2022_21:52:58,36554728,23 days on Zillow
5604 Daywalt Ave,Baltimore,MD,21206,"$205,000",3,2,"1,746",39.328384,-76.535866,Townhouse for sale,https://www.zillow.com/homedetails/5604-Daywalt-Ave-Baltimore-MD-21206/36564578_zpid/,06-23-2022_21:52:58,36564578,23 days on Zillow
3708 Oakmont Ave,Baltimore,MD,21215,"$10,000",3,1,--,39.34294,-76.67764,Auction,https://www.zillow.com/homedetails/3708-Oakmont-Ave-Baltimore-MD-21215/36597538_zpid/,06-23-2022_21:52:58,36597538,23 days on Zillow
1400 Lancaster St UNIT 305,Baltimore,MD,21231,"$449,000",2,3,"1,853",39.282467,-76.59699,Condo for sale,https://www.zillow.com/homedetails/1400-Lancaster-St-UNIT-305-Baltimore-MD-21231/67870512_zpid/,06-23-2022_21:52:58,67870512,23 days on Zillow
675 President St UNIT 2602,Baltimore,MD,21202,"$575,000",2,2,"1,407",39.283752,-76.601,Condo for sale,https://www.zillow.com/homedetails/675-President-St-UNIT-2602-Baltimore-MD-21202/90010246_zpid/,06-23-2022_21:52:58,90010246,23 days on Zillow
1048 Ellicott Dr,Baltimore,MD,21216,"$69,999",2,1,840,39.300625,-76.66901,Townhouse for sale,https://www.zillow.com/homedetails/1048-Ellicott-Dr-Baltimore-MD-21216/2063053459_zpid/,06-23-2022_21:52:58,2063053459,"Price cut: $2,501 (Jun 7)"
2424 Smith Ave,Halethorpe,MD,21227,"$80,000",,,"5,894",39.252262,-76.65205,Lot / Land for sale,https://www.zillow.com/homedetails/2424-Smith-Ave-Halethorpe-MD-21227/2071706627_zpid/,06-23-2022_21:52:58,2071706627,24 days on Zillow
7314 Park Village Ct #7314,Pikesville,MD,21208,"$215,000",2,3,"1,520",,,Townhouse for sale,https://www.zillow.com/homedetails/7314-Park-Village-Ct-7314-Pikesville-MD-21208/2091804194_zpid/,06-23-2022_21:52:58,2091804194,Open: Sat. 12-2pm
4710 Curtis Ave,Baltimore,MD,21226,"$5,000",,,"1,740",39.22349,-76.58692,Auction,https://www.zillow.com/homedetails/4710-Curtis-Ave-Baltimore-MD-21226/249764327_zpid/,06-23-2022_21:52:58,249764327,24 days on Zillow
812 W Lanvale St,Baltimore,MD,21217,"$199,999",3,-,"2,376",39.298363,-76.63343,Multi-family home for sale,https://www.zillow.com/homedetails/812-W-Lanvale-St-Baltimore-MD-21217/36516020_zpid/,06-23-2022_21:52:58,36516020,"Price cut: $30,000 (Jun 18)"
4646 Pimlico Rd,Baltimore,MD,21215,"$161,000",3,2,--,39.34411,-76.668205,Townhouse for sale,https://www.zillow.com/homedetails/4646-Pimlico-Rd-Baltimore-MD-21215/36594628_zpid/,06-23-2022_21:52:58,36594628,"Price cut: $9,000 (Jun 10)"
