address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_time
1525 8th Ct W,Birmingham,AL,35208,"$95,000",3,2,"1,440",33.513794,-86.86264,House for sale,https://www.zillow.com/homedetails/1525-8th-Ct-W-Birmingham-AL-35208/941078_zpid/,06-23-2022_21:32:30,12 days on Zillow
2318 1st Ave N #402,Birmingham,AL,35203,"$378,900",2,2,"1,379",33.516544,-86.80128,Condo for sale,https://www.zillow.com/homedetails/2318-1st-Ave-N-402-Birmingham-AL-35203/2062797544_zpid/,06-23-2022_21:32:30,12 days on Zillow
4941 Cheek Rd,Birmingham,AL,35207,"$21,900",3,1,"1,284",33.57425,-86.80538,House for sale,https://www.zillow.com/homedetails/4941-Cheek-Rd-Birmingham-AL-35207/929216_zpid/,06-23-2022_21:32:30,12 days on Zillow
1446 17th St SW,Birmingham,AL,35211,"$110,000",3,1,950,33.477825,-86.85854,House for sale,https://www.zillow.com/homedetails/1446-17th-St-SW-Birmingham-AL-35211/1000567_zpid/,06-23-2022_21:32:30,12 days on Zillow
1017 Castlemaine Dr,Birmingham,AL,35226,"$295,000",3,2,"1,689",33.42294,-86.846825,Coming soon,https://www.zillow.com/homedetails/1017-Castlemaine-Dr-Birmingham-AL-35226/63561063_zpid/,06-23-2022_21:32:30,12 days on Zillow
4308 Clairmont Ave,Birmingham,AL,35222,"$769,000",3,4,"3,058",33.516438,-86.76708,House for sale,https://www.zillow.com/homedetails/4308-Clairmont-Ave-Birmingham-AL-35222/964213_zpid/,06-23-2022_21:32:30,Play video iconVideo Walkthrough
7516 3rd Ave S,Birmingham,AL,35206,"$161,000",3,1,"1,214",33.55714,-86.7265,House for sale,https://www.zillow.com/homedetails/7516-3rd-Ave-S-Birmingham-AL-35206/952754_zpid/,06-23-2022_21:32:30,"Price cut: $9,000 (Jun 23)"
2412 2nd Ave N UNIT 14,Birmingham,AL,35203,"$449,000",2,2,"1,772",33.518475,-86.8005,Condo for sale,https://www.zillow.com/homedetails/2412-2nd-Ave-N-UNIT-14-Birmingham-AL-35203/80730774_zpid/,06-23-2022_21:32:30,"Price cut: $26,000 (Jun 21)"
1206 Concord Ave,Birmingham,AL,35213,"$340,000",2,1,"1,030",33.51815,-86.73458,House for sale,https://www.zillow.com/homedetails/1206-Concord-Ave-Birmingham-AL-35213/965949_zpid/,06-23-2022_21:32:30,17 days on Zillow
1520 3rd Ave W #4-7,Birmingham,AL,35208,"$100,000",,,,33.5054,-86.86203,Lot / Land for sale,https://www.zillow.com/homedetails/1520-3rd-Ave-W-4-7-Birmingham-AL-35208/2071625580_zpid/,06-23-2022_21:32:30,18 days on Zillow
1656 Matt Leonard Dr SW #16.000,Birmingham,AL,35211,"$10,000",,,"10,019",33.461937,-86.8585,Lot / Land for sale,https://www.zillow.com/homedetails/1656-Matt-Leonard-Dr-SW-16-000-Birmingham-AL-35211/2062974104_zpid/,06-23-2022_21:32:30,"Price cut: $2,000 (Jun 21)"
1625 29th Ave N,Birmingham,AL,35207,"$50,000",3,1,"1,140",33.546574,-86.83072,House for sale,https://www.zillow.com/homedetails/1625-29th-Ave-N-Birmingham-AL-35207/934607_zpid/,06-23-2022_21:32:30,"Price cut: $8,000 (Jun 21)"
2225 31st Ave N,Birmingham,AL,35207,"$29,900",3,1,"1,488",33.55111,-86.8229,House for sale,https://www.zillow.com/homedetails/2225-31st-Ave-N-Birmingham-AL-35207/930966_zpid/,06-23-2022_21:32:30,"Price cut: $5,100 (Jun 21)"
1321 44th St,Birmingham,AL,35208,"$95,000",3,1,"2,736",33.489185,-86.8952,House for sale,https://www.zillow.com/homedetails/1321-44th-St-Birmingham-AL-35208/996445_zpid/,06-23-2022_21:32:30,18 days on Zillow
625 27th St SW,Birmingham,AL,35211,"$40,000",3,1,"1,148",33.479546,-86.87782,House for sale,https://www.zillow.com/homedetails/625-27th-St-SW-Birmingham-AL-35211/999005_zpid/,06-23-2022_21:32:30,19 days on Zillow
4317 6th Ave S,Birmingham,AL,35222,"$350,000",3,2,"1,473",33.52318,-86.76767,House for sale,https://www.zillow.com/homedetails/4317-6th-Ave-S-Birmingham-AL-35222/963438_zpid/,06-23-2022_21:32:30,19 days on Zillow
1845 47th St,Birmingham,AL,35208,"$99,000",3,2,"1,596",33.488556,-86.88376,House for sale,https://www.zillow.com/homedetails/1845-47th-St-Birmingham-AL-35208/995973_zpid/,06-23-2022_21:32:30,19 days on Zillow
4836 Court I,Birmingham,AL,35208,"$110,000",2,1,"1,300",33.484665,-86.90299,House for sale,https://www.zillow.com/homedetails/4836-Court-I-Birmingham-AL-35208/1023678_zpid/,06-23-2022_21:32:30,24 days on Zillow
855 78th St S,Birmingham,AL,35206,"$165,000",3,1,"1,068",33.557327,-86.7124,House for sale,https://www.zillow.com/homedetails/855-78th-St-S-Birmingham-AL-35206/951387_zpid/,06-23-2022_21:32:30,27 days on Zillow
458 Exeter Dr,Birmingham,AL,35206,"$199,500",3,2,"1,027",33.57384,-86.71026,House for sale,https://www.zillow.com/homedetails/458-Exeter-Dr-Birmingham-AL-35206/948776_zpid/,06-23-2022_21:32:30,3D Homes Icon3D Tour
6909 Division Ave,Birmingham,AL,35206,"$83,000",3,1,"1,143",33.552128,-86.73564,House for sale,https://www.zillow.com/homedetails/6909-Division-Ave-Birmingham-AL-35206/953419_zpid/,06-23-2022_21:32:30,27 days on Zillow
5601 7th Ave S,Birmingham,AL,35212,"$309,900",3,1,"1,554",33.533306,-86.74729,House for sale,https://www.zillow.com/homedetails/5601-7th-Ave-S-Birmingham-AL-35212/961608_zpid/,06-23-2022_21:32:30,3D Homes Icon3D Tour
8612 9th Court Cir S,Birmingham,AL,35206,"$224,900",4,2,"1,412",33.569527,-86.70521,House for sale,https://www.zillow.com/homedetails/8612-9th-Court-Cir-S-Birmingham-AL-35206/174621529_zpid/,06-23-2022_21:32:30,"Price cut: $5,000 (Jun 13)"
3907 Bibury Cir,Birmingham,AL,35242,"$524,900",4,3,"2,750",33.46842,-86.67585,House for sale,https://www.zillow.com/homedetails/3907-Bibury-Cir-Birmingham-AL-35242/121859184_zpid/,06-23-2022_21:32:30,Play video iconVideo Walkthrough
956 Parkway Dr,Birmingham,AL,35215,"$100,000",3,1,"1,147",33.604763,-86.69937,House for sale,https://www.zillow.com/homedetails/956-Parkway-Dr-Birmingham-AL-35215/909750_zpid/,06-23-2022_21:32:30,28 days on Zillow
2800 20th St W,Birmingham,AL,35208,"$150,000",4,3,"2,540",33.509033,-86.86854,House for sale,https://www.zillow.com/homedetails/2800-20th-St-W-Birmingham-AL-35208/940785_zpid/,06-23-2022_21:32:30,28 days on Zillow
2222 2nd Ave N UNIT 409,Birmingham,AL,35203,"$399,900",2,2,"1,639",33.516968,-86.80329,Condo for sale,https://www.zillow.com/homedetails/2222-2nd-Ave-N-UNIT-409-Birmingham-AL-35203/89736289_zpid/,06-23-2022_21:32:30,36 days on Zillow
1009 28th St S,Birmingham,AL,35205,"$365,000",4,2,"2,143",33.508377,-86.78568,House for sale,https://www.zillow.com/homedetails/1009-28th-St-S-Birmingham-AL-35205/963885_zpid/,06-23-2022_21:32:30,36 days on Zillow
3017 Ensley Ave,Birmingham,AL,35208,"$250,000",3,1,"1,540",33.499058,-86.87906,House for sale,https://www.zillow.com/homedetails/3017-Ensley-Ave-Birmingham-AL-35208/993618_zpid/,06-23-2022_21:32:30,36 days on Zillow
1300 Beacon Pkwy E UNIT 208,Birmingham,AL,35209,"$237,000",2,2,"1,489",33.48198,-86.81208,Condo for sale,https://www.zillow.com/homedetails/1300-Beacon-Pkwy-E-UNIT-208-Birmingham-AL-35209/80734181_zpid/,06-23-2022_21:32:30,"Price cut: $17,900 (Jun 2)"
401 20th St UNIT 104,Birmingham,AL,35233,"$224,900",1,1,785,33.508934,-86.801865,Condo for sale,https://www.zillow.com/homedetails/401-20th-St-UNIT-104-Birmingham-AL-35233/2063234698_zpid/,06-23-2022_21:32:30,36 days on Zillow
969 48th St N,Birmingham,AL,35212,"$45,000",3,1,976,33.542877,-86.763245,House for sale,https://www.zillow.com/homedetails/969-48th-St-N-Birmingham-AL-35212/174626976_zpid/,06-23-2022_21:32:30,37 days on Zillow
117 Holley Ave,Birmingham,AL,35214,"$15,900",3,2,"1,000",33.536255,-86.89931,Foreclosure,https://www.zillow.com/homedetails/117-Holley-Ave-Birmingham-AL-35214/938932_zpid/,06-23-2022_21:32:30,37 days on Zillow
4425 13th Ave N,Birmingham,AL,35212,"$30,000",1,1,860,33.54618,-86.77105,House for sale,https://www.zillow.com/homedetails/4425-13th-Ave-N-Birmingham-AL-35212/955832_zpid/,06-23-2022_21:32:30,37 days on Zillow
1321 Lexington St N #0,Birmingham,AL,35224,"$3,800",,,"5,663",33.52811,-86.925514,Lot / Land for sale,https://www.zillow.com/homedetails/1321-Lexington-St-N-0-Birmingham-AL-35224/2093376248_zpid/,06-23-2022_21:32:30,38 days on Zillow
135 69th Pl N #6,Birmingham,AL,35206,"$16,000",,,"6,098",,,Lot / Land for sale,https://www.zillow.com/homedetails/135-69th-Pl-N-6-Birmingham-AL-35206/2076126474_zpid/,06-23-2022_21:32:30,"Price cut: $4,000 (May 20)"
2109 Morris Ave,Birmingham,AL,35203,"$959,900",3,3,"2,639",33.51448,-86.80339,Townhouse for sale,https://www.zillow.com/homedetails/2109-Morris-Ave-Birmingham-AL-35203/309395044_zpid/,06-23-2022_21:32:30,49 days on Zillow
536 Belmar Dr,Birmingham,AL,35215,"$80,000",3,1,993,33.597454,-86.72075,House for sale,https://www.zillow.com/homedetails/536-Belmar-Dr-Birmingham-AL-35215/909163_zpid/,06-23-2022_21:32:30,50 days on Zillow
7773 4th Ave S,Birmingham,AL,35206,"$125,000",4,2,"1,414",33.560055,-86.72164,House for sale,https://www.zillow.com/homedetails/7773-4th-Ave-S-Birmingham-AL-35206/951803_zpid/,06-23-2022_21:32:30,"Price cut: $10,000 (May 13)"
864 42nd Pl N #29.000,Birmingham,AL,35212,"$10,100",,,"6,098",33.539753,-86.774864,Lot / Land for sale,https://www.zillow.com/homedetails/864-42nd-Pl-N-29-000-Birmingham-AL-35212/2063431214_zpid/,06-23-2022_21:32:30,50 days on Zillow
911 42nd St N #2.000,Birmingham,AL,35212,"$10,600",,,"6,098",33.539734,-86.775345,Lot / Land for sale,https://www.zillow.com/homedetails/911-42nd-St-N-2-000-Birmingham-AL-35212/2063431225_zpid/,06-23-2022_21:32:30,50 days on Zillow
1140 Heritage Way,Birmingham,AL,35211,"$349,900",4,4,"3,404",33.47867,-86.8425,House for sale,https://www.zillow.com/homedetails/1140-Heritage-Way-Birmingham-AL-35211/1001652_zpid/,06-23-2022_21:32:30,51 days on Zillow
832 26th St SW #37,Birmingham,AL,35211,"$16,000",,,"8,712",33.47667,-86.87685,Lot / Land for sale,https://www.zillow.com/homedetails/832-26th-St-SW-37-Birmingham-AL-35211/2063446907_zpid/,06-23-2022_21:32:30,51 days on Zillow
7508 2nd Ave N,Birmingham,AL,35206,"$169,900",3,2,"1,200",33.560642,-86.732216,House for sale,https://www.zillow.com/homedetails/7508-2nd-Ave-N-Birmingham-AL-35206/952807_zpid/,06-23-2022_21:32:30,52 days on Zillow
630 77th St S,Birmingham,AL,35206,"$139,900",2,2,"1,300",33.555664,-86.720055,House for sale,https://www.zillow.com/homedetails/630-77th-St-S-Birmingham-AL-35206/951939_zpid/,06-23-2022_21:32:30,"Price cut: $15,000 (Jun 18)"
733 Lamplighter Cir,Birmingham,AL,35214,"$7,800",,,"6,098",33.53888,-86.88685,Lot / Land for sale,https://www.zillow.com/homedetails/733-Lamplighter-Cir-Birmingham-AL-35214/932953_zpid/,06-23-2022_21:32:30,62 days on Zillow
6009 Court O,Birmingham,AL,35228,"$70,000",3,1,"1,192",33.474995,-86.89057,House for sale,https://www.zillow.com/homedetails/6009-Court-O-Birmingham-AL-35228/1009045_zpid/,06-23-2022_21:32:30,"Price cut: $10,000 (May 18)"
1424 31st St N #10,Birmingham,AL,35234,"$59,000",,,"9,583",33.537766,-86.80202,Lot / Land for sale,https://www.zillow.com/homedetails/1424-31st-St-N-10-Birmingham-AL-35234/2078244410_zpid/,06-23-2022_21:32:30,63 days on Zillow
2217 43rd Ave N #17,Birmingham,AL,35207,"$75,000",,,,33.567818,-86.82622,Lot / Land for sale,https://www.zillow.com/homedetails/2217-43rd-Ave-N-17-Birmingham-AL-35207/2064122228_zpid/,06-23-2022_21:32:30,63 days on Zillow
613 25th Ave NW,Birmingham,AL,35215,"$320,000",5,3,"3,172",33.65077,-86.70226,House for sale,https://www.zillow.com/homedetails/613-25th-Ave-NW-Birmingham-AL-35215/901140_zpid/,06-23-2022_21:32:30,"Price cut: $5,000 (May 10)"
2801 24th St W,Birmingham,AL,35208,"$275,000",3,3,"2,100",33.50492,-86.86987,Multi-family home for sale,https://www.zillow.com/homedetails/2801-24th-St-W-Birmingham-AL-35208/992839_zpid/,06-23-2022_21:32:30,"Price cut: $20,000 (May 5)"
2625 17th St,Birmingham,AL,35208,"$209,000",3,2,"1,669",33.51211,-86.873405,House for sale,https://www.zillow.com/homedetails/2625-17th-St-Birmingham-AL-35208/940646_zpid/,06-23-2022_21:32:30,"Price cut: $4,900 (Jun 15)"
1536 Bessemer Rd,Birmingham,AL,35208,"$109,900",2,1,964,33.484848,-86.89129,House for sale,https://www.zillow.com/homedetails/1536-Bessemer-Rd-Birmingham-AL-35208/997207_zpid/,06-23-2022_21:32:30,"Price cut: $20,000 (Jun 23)"
1215 31st St S,Birmingham,AL,35205,"$525,000",4,4,"2,514",33.50554,-86.77855,House for sale,https://www.zillow.com/homedetails/1215-31st-St-S-Birmingham-AL-35205/964086_zpid/,06-23-2022_21:32:30,"Price cut: $70,000 (May 4)"
1720 2nd St S,Birmingham,AL,35205,"$65,000",4,2,"1,689",33.489887,-86.82493,House for sale,https://www.zillow.com/homedetails/1720-2nd-St-S-Birmingham-AL-35205/1002369_zpid/,06-23-2022_21:32:30,91 days on Zillow
424 Burgundy Rd,Birmingham,AL,35215,"$130,000",3,2,"1,022",33.619186,-86.6981,House for sale,https://www.zillow.com/homedetails/424-Burgundy-Rd-Birmingham-AL-35215/905410_zpid/,06-23-2022_21:32:30,"Price cut: $1,000 (Jun 23)"
204 Red Lane Rd,Birmingham,AL,35215,"$198,000",4,3,"1,700",33.591705,-86.710464,House for sale,https://www.zillow.com/homedetails/204-Red-Lane-Rd-Birmingham-AL-35215/909528_zpid/,06-23-2022_21:32:30,"Price cut: $12,000 (May 18)"
2820 Jefferson Ave SW,Birmingham,AL,35211,"$69,900",3,1,"1,040",33.473114,-86.87976,House for sale,https://www.zillow.com/homedetails/2820-Jefferson-Ave-SW-Birmingham-AL-35211/1007858_zpid/,06-23-2022_21:32:30,93 days on Zillow
624 Barclay Ln,Birmingham,AL,35206,"$163,950",3,2,"2,049",33.584274,-86.69103,House for sale,https://www.zillow.com/homedetails/624-Barclay-Ln-Birmingham-AL-35206/969071_zpid/,06-23-2022_21:32:30,"Price cut: $5,000 (Jun 1)"
3321 32nd St N,Birmingham,AL,35207,"$74,900",3,1,"1,344",33.55624,-86.802444,House for sale,https://www.zillow.com/homedetails/3321-32nd-St-N-Birmingham-AL-35207/929862_zpid/,06-23-2022_21:32:30,"Price cut: $5,000 (May 21)"
1700 Monroe Ave SW,Birmingham,AL,35211,"$34,900",2,1,735,33.493214,-86.86591,Foreclosure,https://www.zillow.com/homedetails/1700-Monroe-Ave-SW-Birmingham-AL-35211/993910_zpid/,06-23-2022_21:32:30,94 days on Zillow
2623 Avenue G,Birmingham,AL,35218,"$60,400",3,2,"1,718",33.505238,-86.89966,House for sale,https://www.zillow.com/homedetails/2623-Avenue-G-Birmingham-AL-35218/994413_zpid/,06-23-2022_21:32:30,"Price cut: $4,500 (Jun 10)"
4817 Avenue O,Birmingham,AL,35208,"$85,000",3,1,"1,160",33.4847,-86.89207,House for sale,https://www.zillow.com/homedetails/4817-Avenue-O-Birmingham-AL-35208/996919_zpid/,06-23-2022_21:32:30,129 days on Zillow
4511 13th Ave,Birmingham,AL,35224,"$85,000",3,1,"1,212",33.498974,-86.92286,House for sale,https://www.zillow.com/homedetails/4511-13th-Ave-Birmingham-AL-35224/1019428_zpid/,06-23-2022_21:32:30,129 days on Zillow
3904 7th Ave,Birmingham,AL,35224,"$85,000",3,1,"1,372",33.506332,-86.91672,House for sale,https://www.zillow.com/homedetails/3904-7th-Ave-Birmingham-AL-35224/1018134_zpid/,06-23-2022_21:32:30,129 days on Zillow
2021 49th St,Birmingham,AL,35208,"$85,000",2,1,852,33.48846,-86.877335,House for sale,https://www.zillow.com/homedetails/2021-49th-St-Birmingham-AL-35208/998646_zpid/,06-23-2022_21:32:30,129 days on Zillow
1836 Princeton Ave SW,Birmingham,AL,35211,"$85,000",3,1,"1,386",33.48689,-86.86741,House for sale,https://www.zillow.com/homedetails/1836-Princeton-Ave-SW-Birmingham-AL-35211/998095_zpid/,06-23-2022_21:32:30,129 days on Zillow
1612 41st St,Birmingham,AL,35208,"$85,000",2,2,974,33.492527,-86.88908,House for sale,https://www.zillow.com/homedetails/1612-41st-St-Birmingham-AL-35208/995637_zpid/,06-23-2022_21:32:30,129 days on Zillow
1323 Gulfport St,Birmingham,AL,35224,"$85,000",3,1,"1,416",33.49845,-86.919785,House for sale,https://www.zillow.com/homedetails/1323-Gulfport-St-Birmingham-AL-35224/1019434_zpid/,06-23-2022_21:32:30,129 days on Zillow
1325 Meadow Ln,Birmingham,AL,35228,"$85,000",2,1,"1,275",33.47183,-86.89465,House for sale,https://www.zillow.com/homedetails/1325-Meadow-Ln-Birmingham-AL-35228/1009555_zpid/,06-23-2022_21:32:30,129 days on Zillow
1561 Meadow Ct,Birmingham,AL,35228,"$85,000",2,1,672,33.47328,-86.88937,House for sale,https://www.zillow.com/homedetails/1561-Meadow-Ct-Birmingham-AL-35228/1008917_zpid/,06-23-2022_21:32:30,129 days on Zillow
2122 Redwood Cir #34,Birmingham,AL,35215,"$16,000",,,,33.642162,-86.72259,Lot / Land for sale,https://www.zillow.com/homedetails/2122-Redwood-Cir-34-Birmingham-AL-35215/2066804833_zpid/,06-23-2022_21:32:30,160 days on Zillow
2117 Redwood Cir #22,Birmingham,AL,35215,"$18,000",,,,33.64166,-86.72198,Lot / Land for sale,https://www.zillow.com/homedetails/2117-Redwood-Cir-22-Birmingham-AL-35215/2066804834_zpid/,06-23-2022_21:32:30,160 days on Zillow
621 64th St S,Birmingham,AL,35212,"$55,000",3,1,"1,092",33.536953,-86.739815,House for sale,https://www.zillow.com/homedetails/621-64th-St-S-Birmingham-AL-35212/958182_zpid/,06-23-2022_21:32:30,"Price cut: $15,000 (Apr 28)"
