address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
741 Morton St NW,Washington,DC,20010,"$995,000",2,3,"1,584",38.932194,-77.02504,New construction,474736,https://www.zillow.com/homedetails/741-Morton-St-NW-Washington-DC-20010/474736_zpid/,06-10-2022_19:45:18
6425 Kansas Ave NE,Washington,DC,20012,"$820,000",3,1,"1,694",38.968185,-77.00605,House for sale,493336,https://www.zillow.com/homedetails/6425-Kansas-Ave-NE-Washington-DC-20012/493336_zpid/,06-10-2022_19:45:18
3520 Ely Pl SE,Washington,DC,20019,"$1,275,000",8,-,"3,362",38.883793,-76.95494,Multi-family home for sale,518664,https://www.zillow.com/homedetails/3520-Ely-Pl-SE-Washington-DC-20019/518664_zpid/,06-10-2022_19:45:18
877 Barnaby St SE,Washington,DC,20032,"$440,000",3,3,"2,026",38.831165,-76.99184,Townhouse for sale,54658645,https://www.zillow.com/homedetails/877-Barnaby-St-SE-Washington-DC-20032/54658645_zpid/,06-10-2022_19:45:18
2321 14th Pl SE,Washington,DC,20020,"$315,000",2,2,"1,060",38.859135,-76.987236,Townhouse for sale,525783,https://www.zillow.com/homedetails/2321-14th-Pl-SE-Washington-DC-20020/525783_zpid/,06-10-2022_19:45:18
3900 14th St NW APT 403,Washington,DC,20011,"$429,000",2,1,976,38.93891,-77.03376,Condo for sale,108441974,https://www.zillow.com/homedetails/3900-14th-St-NW-APT-403-Washington-DC-20011/108441974_zpid/,06-10-2022_19:45:18
5201 Wisconsin Ave NW #413,Washington,DC,20015,"$475,000",1,1,624,38.9573,-77.08331,Condo for sale,114414203,https://www.zillow.com/homedetails/5201-Wisconsin-Ave-NW-413-Washington-DC-20015/114414203_zpid/,06-10-2022_19:45:18
1341 Irving St NW APT A,Washington,DC,20010,"$639,000",2,2,"1,274",38.928936,-77.03113,Townhouse for sale,119083597,https://www.zillow.com/homedetails/1341-Irving-St-NW-APT-A-Washington-DC-20010/119083597_zpid/,06-10-2022_19:45:18
925 H St NW APT 406,Washington,DC,20001,"$815,000",2,2,961,38.89995,-77.02445,Condo for sale,121340594,https://www.zillow.com/homedetails/925-H-St-NW-APT-406-Washington-DC-20001/121340594_zpid/,06-10-2022_19:45:18
513 C St NE,Washington,DC,20002,"$4,200,000",5,6,"4,480",38.892834,-76.99886,Townhouse for sale,124002976,https://www.zillow.com/homedetails/513-C-St-NE-Washington-DC-20002/124002976_zpid/,06-10-2022_19:45:18
3622 Commodore Joshua Barney Dr NE,Washington,DC,20018,"$650,000",3,5,"2,100",38.92414,-76.95376,Townhouse for sale,183134769,https://www.zillow.com/homedetails/3622-Commodore-Joshua-Barney-Dr-NE-Washington-DC-20018/183134769_zpid/,06-10-2022_19:45:18
1234 Euclid St NW #2,Washington,DC,20009,"$900,000",3,3,"1,298",38.923565,-77.029236,Townhouse for sale,183134946,https://www.zillow.com/homedetails/1234-Euclid-St-NW-2-Washington-DC-20009/183134946_zpid/,06-10-2022_19:45:18
1301 W Virginia Ave NE #1,Washington,DC,20002,"$775,000",4,2,"1,375",38.90558,-76.99095,New construction,2063077268,https://www.zillow.com/homedetails/1301-W-Virginia-Ave-NE-1-Washington-DC-20002/2063077268_zpid/,06-10-2022_19:45:18
1101 3rd St SW APT 613,Washington,DC,20024,"$449,900",1,1,894,38.877686,-77.01595,Condo for sale,97307126,https://www.zillow.com/homedetails/1101-3rd-St-SW-APT-613-Washington-DC-20024/97307126_zpid/,06-10-2022_19:45:18
2238 11th St NW APT 2,Washington,DC,20001,"$850,000",2,3,"1,417",38.920258,-77.027405,Condo for sale,114415382,https://www.zillow.com/homedetails/2238-11th-St-NW-APT-2-Washington-DC-20001/114415382_zpid/,06-10-2022_19:45:18
