address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped
1902 S Bush Place,Seattle,WA,98144,"$789,000",3,2,"1,492",47.592903,-122.30771,Active,https://www.zillow.com/homedetails/1902-S-Bush-Pl-Seattle-WA-98144/124003083_zpid/,06-10-2022_19:53:51
20 W Garfield Street,Seattle,WA,98119,"$1,325,000",3,2,"2,712",47.6337,-122.35798,Active,https://www.zillow.com/homedetails/20-W-Garfield-St-Seattle-WA-98119/48930440_zpid/,06-10-2022_19:53:51
403 Terry Avenue UNIT 4,Seattle,WA,98104,"$329,950",1,1,510,47.60466,-122.32272,Active,https://www.zillow.com/homedetails/403-Terry-Ave-APT-4-Seattle-WA-98104/65222808_zpid/,06-10-2022_19:53:51
2938 2nd Avenue N,Seattle,WA,98109,"$1,389,950",4,3,"2,480",47.646713,-122.353035,Active,https://www.zillow.com/homedetails/2938-2nd-Ave-N-Seattle-WA-98109/2063171412_zpid/,06-10-2022_19:53:51
K Plan,,,,"$538,000",1,1,564,47.61834,-122.344505,New construction,https://www.zillow.com/community/spire/2068749297_zpid/,06-10-2022_19:53:51
2901 NE Blakeley Street UNIT 432,Seattle,WA,98105,"$565,000",1,1,681,47.66589,-122.29734,Active,https://www.zillow.com/homedetails/2901-NE-Blakeley-St-APT-432-Seattle-WA-98105/63334730_zpid/,06-10-2022_19:53:51
812 5th Avenue N UNIT 416,Seattle,WA,98109,"$549,950",1,1,709,47.626827,-122.347176,Active,https://www.zillow.com/homedetails/812-5th-Ave-N-APT-416-Seattle-WA-98109/68480791_zpid/,06-10-2022_19:53:51
1908 7th Avenue W,Seattle,WA,98119,"$4,680,000",4,5,"5,704",47.636272,-122.365944,Active,https://www.zillow.com/homedetails/1908-7th-Ave-W-Seattle-WA-98119/48795696_zpid/,06-10-2022_19:53:51
1833 14th Avenue E,Seattle,WA,98122,"$1,174,950",2,2,"1,438",47.618557,-122.31459,Active,https://www.zillow.com/homedetails/1833-14th-Ave-Seattle-WA-98122/337596671_zpid/,06-10-2022_19:53:51
1127 N 84th Street,Seattle,WA,98103,"$699,950",2,2,"1,000",47.68984,-122.34348,Active,https://www.zillow.com/homedetails/1127-N-84th-St-Seattle-WA-98103/2063203766_zpid/,06-10-2022_19:53:51
8312 11th Avenue NW UNIT B,Seattle,WA,98117,"$849,999",2,3,950,47.68918,-122.37007,Active,https://www.zillow.com/homedetails/8312-11th-Ave-NW-B-Seattle-WA-98117/2063203899_zpid/,06-10-2022_19:53:51
8336 Mary Avenue NW,Seattle,WA,98117,"$950,000",3,2,"2,160",47.689774,-122.37509,Active,https://www.zillow.com/homedetails/8336-Mary-Ave-NW-Seattle-WA-98117/49047141_zpid/,06-10-2022_19:53:51
4211 E McGilvra Street,Seattle,WA,98112,"$1,000,000",2,2,"1,280",47.640526,-122.27792,Active,https://www.zillow.com/homedetails/4211-E-McGilvra-St-Seattle-WA-98112/48937059_zpid/,06-10-2022_19:53:51
2852 NW 67th Street,Seattle,WA,98117,"$1,699,999",6,5,"2,771",47.677532,-122.39525,Active,https://www.zillow.com/homedetails/2852-NW-67th-St-Seattle-WA-98117/48888319_zpid/,06-10-2022_19:53:51
1503 Cherry Lane Avenue S,Seattle,WA,98144,"$679,900",3,3,"1,520",47.5893,-122.31274,Active,https://www.zillow.com/homedetails/1503-Cherrylane-Ave-S-Seattle-WA-98144/2068168159_zpid/,06-10-2022_19:53:51
76 Cedar Street UNIT 1204,Seattle,WA,98121,"$579,000",1,2,867,47.615604,-122.35169,Active,https://www.zillow.com/homedetails/76-Cedar-St-1204-Seattle-WA-98121/82365321_zpid/,06-10-2022_19:53:51
3838 Cascadia Avenue S,Seattle,WA,98118,"$3,298,000",4,5,"4,470",47.56862,-122.28251,Active,https://www.zillow.com/homedetails/3838-Cascadia-Ave-S-Seattle-WA-98118/49083147_zpid/,06-10-2022_19:53:51
654 W Olympic Place UNIT 402,Seattle,WA,98119,"$640,000",2,2,"1,075",47.62803,-122.36623,Active,https://www.zillow.com/homedetails/654-W-Olympic-Pl-APT-402-Seattle-WA-98119/48992170_zpid/,06-10-2022_19:53:51
8009 15th Avenue NW UNIT C,Seattle,WA,98117,"$960,000",2,3,"1,710",47.68706,-122.377,Active,https://www.zillow.com/homedetails/8009-15th-Ave-NW-C-Seattle-WA-98117/2085214416_zpid/,06-10-2022_19:53:51
1614 NW 85th Street,Seattle,WA,98117,"$2,095,000",1,4,"4,140",47.690746,-122.378654,Active,https://www.zillow.com/homedetails/1614-NW-85th-St-Seattle-WA-98117/48859436_zpid/,06-10-2022_19:53:51
1530 NW Market Street UNIT 309,Seattle,WA,98107,"$525,000",1,1,794,47.66908,-122.37803,Active,https://www.zillow.com/homedetails/1530-NW-Market-St-UNIT-309-Seattle-WA-98107/83228512_zpid/,06-10-2022_19:53:51
715 N 86th Street,Seattle,WA,98103,"$2,420,000",5,4,"4,492",47.69107,-122.34926,Active,https://www.zillow.com/homedetails/715-N-86th-St-Seattle-WA-98103/48977302_zpid/,06-10-2022_19:53:51
2214 13th Avenue S UNIT B,Seattle,WA,98144,"$645,950",1,1,704,47.638695,-122.31588,Active,https://www.zillow.com/homedetails/2214-13th-Ave-E-B-Seattle-WA-98144/2063218408_zpid/,06-10-2022_19:53:51
1605 E Olive Street UNIT 104,Seattle,WA,98122,"$350,000",1,1,613,47.616344,-122.31116,Active,https://www.zillow.com/homedetails/1605-E-Olive-St-104-Seattle-WA-98122/2063218817_zpid/,06-10-2022_19:53:51
