address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped
209 N 39th Street UNIT 302,Seattle,WA,98103,"$490,000",1,1,588,47.654,-122.35626,Active,https://www.zillow.com/homedetails/209-N-39th-St-APT-302-Seattle-WA-98103/68474212_zpid/,06-10-2022_19:53:51
1414 1st Avenue W UNIT 104,Seattle,WA,98119,"$925,000",2,2,"1,320",47.63181,-122.3575,Active,https://www.zillow.com/homedetails/1414-1st-Ave-W-APT-104-Seattle-WA-98119/63174900_zpid/,06-10-2022_19:53:51
201 23rd Avenue E UNIT B,Seattle,WA,98112,"$840,000",2,2,"1,089",47.620426,-122.30274,Active,https://www.zillow.com/homedetails/201-23rd-Ave-E-B-Seattle-WA-98112/2073673788_zpid/,06-10-2022_19:53:51
521 21st Avenue,Seattle,WA,98122,"$1,090,000",4,2,"1,890",47.606792,-122.305405,Active,https://www.zillow.com/homedetails/521-21st-Ave-Seattle-WA-98122/49114689_zpid/,06-10-2022_19:53:51
9749 Woodlawn Avenue N,Seattle,WA,98103,"$885,000",3,4,"1,870",47.700993,-122.339165,Active,https://www.zillow.com/homedetails/9749-Woodlawn-Ave-N-Seattle-WA-98103/48933305_zpid/,06-10-2022_19:53:51
5401 26th Avenue SW,Seattle,WA,98106,"$650,000",3,1,"1,220",47.553596,-122.36581,Active,https://www.zillow.com/homedetails/5401-26th-Ave-SW-Seattle-WA-98106/49125356_zpid/,06-10-2022_19:53:51
410 NE 70th Street UNIT 401,Seattle,WA,98115,"$825,000",2,2,940,47.679462,-122.32423,Active,https://www.zillow.com/homedetails/410-NE-70th-St-APT-401-Seattle-WA-98115/67704169_zpid/,06-10-2022_19:53:51
4134 Midvale Avenue N,Seattle,WA,98103,"$1,195,000",3,3,"1,786",47.657658,-122.34322,Active,https://www.zillow.com/homedetails/4134-Midvale-Ave-N-Seattle-WA-98103/48790493_zpid/,06-10-2022_19:53:51
3816 E Garfield Street,Seattle,WA,98112,"$6,000,000",6,5,"5,328",47.63365,-122.28307,Active,https://www.zillow.com/homedetails/3816-E-Garfield-St-Seattle-WA-98112/48956642_zpid/,06-10-2022_19:53:51
1707 Boylston Avenue UNIT 108,Seattle,WA,98122,"$262,500",,1,369,47.61664,-122.32376,Active,https://www.zillow.com/homedetails/1707-Boylston-Ave-APT-108-Seattle-WA-98122/82366112_zpid/,06-10-2022_19:53:51
7053 22nd Avenue NW,Seattle,WA,98117,"$1,200,000",3,3,"1,820",47.681034,-122.38463,Active,https://www.zillow.com/homedetails/7053-22nd-Ave-NW-Seattle-WA-98117/49041694_zpid/,06-10-2022_19:53:51
1130 N 82nd Street,Seattle,WA,98103,"$975,000",2,2,"1,800",47.6886,-122.342995,Active,https://www.zillow.com/homedetails/1130-N-82nd-St-Seattle-WA-98103/48694431_zpid/,06-10-2022_19:53:51
Radford Plan,,,,"$3,195,950",5,4,"3,572",47.6726,-122.25979,New construction,https://www.zillow.com/community/windermere-spot-lots/2064682963_zpid/,06-10-2022_19:53:51
827 Hiawatha Place S UNIT 217,Seattle,WA,98144,"$485,000",2,1,818,47.595192,-122.31001,Active,https://www.zillow.com/homedetails/827-Hiawatha-Pl-217-Seattle-WA-98144/92571384_zpid/,06-10-2022_19:53:51
2527 NE 110th Street,Seattle,WA,98125,"$1,299,950",6,4,"3,020",47.708256,-122.30021,Active,https://www.zillow.com/homedetails/2527-NE-110th-St-Seattle-WA-98125/48829989_zpid/,06-10-2022_19:53:51
5105 S Orchard Street,Seattle,WA,98118,"$948,000",5,3,"2,380",47.538105,-122.26985,Active,https://www.zillow.com/homedetails/5105-S-Orchard-St-Seattle-WA-98118/48705651_zpid/,06-10-2022_19:53:51
11807 Stendall Drive N,Seattle,WA,98133,"$825,000",3,4,"2,440",47.71486,-122.34169,Active,https://www.zillow.com/homedetails/11807-Stendall-Dr-N-Seattle-WA-98133/49075092_zpid/,06-10-2022_19:53:51
2607 Western Avenue UNIT 503,Seattle,WA,98121,"$599,000",1,2,941,47.614765,-122.3513,Active,https://www.zillow.com/homedetails/2607-Western-Ave-APT-503-Seattle-WA-98121/60973476_zpid/,06-10-2022_19:53:51
10419 Marine View Drive SW,Seattle,WA,98146,"$1,695,000",3,3,"3,700",47.50957,-122.38857,Active,https://www.zillow.com/homedetails/10419-Marine-View-Dr-SW-Seattle-WA-98146/49128461_zpid/,06-10-2022_19:53:51
2021 1st Avenue UNIT TE,Seattle,WA,98121,"$750,000",1,1,"1,186",47.61111,-122.34297,Active,https://www.zillow.com/homedetails/2021-1st-Ave-Seattle-WA-98121/48951715_zpid/,06-10-2022_19:53:51
583 Battery Street UNIT 310,Seattle,WA,98121,"$719,900",1,1,994,47.61709,-122.34361,Active,https://www.zillow.com/homedetails/583-Battery-St-APT-310N-Seattle-WA-98121/247767529_zpid/,06-10-2022_19:53:51
7057 9th Avenue NE,Seattle,WA,98115,"$799,950",2,2,"1,147",47.681187,-122.36865,Active,https://www.zillow.com/homedetails/7057-9th-Ave-NW-Seattle-WA-98115/2062963682_zpid/,06-10-2022_19:53:51
801 2nd Avenue N UNIT 400,Seattle,WA,98109,"$2,998,000",2,4,"3,660",47.626575,-122.35317,Active,https://www.zillow.com/homedetails/801-2nd-Ave-N-400-Seattle-WA-98109/2062963846_zpid/,06-10-2022_19:53:51
701 1st Avenue N UNIT 206,Seattle,WA,98109,"$359,600",,1,528,47.625706,-122.355804,Active,https://www.zillow.com/homedetails/701-1st-Ave-N-APT-206-Seattle-WA-98109/55291222_zpid/,06-10-2022_19:53:51
7908 Green Lake Drive N,Seattle,WA,98103,"$899,950",3,2,"1,375",47.68568,-122.33746,Active,https://www.zillow.com/homedetails/7908-E-Green-Lake-Dr-N-Seattle-WA-98103/2062923013_zpid/,06-10-2022_19:53:51
588 Bell Street UNIT 1503S,Seattle,WA,98121,"$999,000",2,2,"1,156",47.61675,-122.34329,Active,https://www.zillow.com/homedetails/588-Bell-St-UNIT-1503S-Seattle-WA-98121/337595728_zpid/,06-10-2022_19:53:51
588 Bell Street UNIT 1808S,Seattle,WA,98121,"$985,000",2,2,"1,006",47.61675,-122.34329,Active,https://www.zillow.com/homedetails/588-Bell-St-UNIT-1808S-Seattle-WA-98121/247767154_zpid/,06-10-2022_19:53:51
4119 E Newton Street,Seattle,WA,98112,"$1,495,000",3,3,"1,860",47.636833,-122.2789,Active,https://www.zillow.com/homedetails/4119-E-Newton-St-Seattle-WA-98112/48936944_zpid/,06-10-2022_19:53:51
401 9th Avenue N UNIT 305,Seattle,WA,98109,"$480,000",1,1,663,47.622177,-122.340355,Active,https://www.zillow.com/homedetails/401-9th-Ave-N-APT-305-Seattle-WA-98109/88875871_zpid/,06-10-2022_19:53:51
2201 3rd Avenue UNIT 1804,Seattle,WA,98121,"$725,000",2,2,988,47.6139,-122.34404,Active,https://www.zillow.com/homedetails/2201-3rd-Ave-APT-1804-Seattle-WA-98121/48831375_zpid/,06-10-2022_19:53:51
2510 6th Avenue UNIT 608,Seattle,WA,98121,"$1,165,000",2,2,"1,188",47.618324,-122.34446,Active,https://www.zillow.com/homedetails/2510-6th-Ave-608-Seattle-WA-98121/2062988260_zpid/,06-10-2022_19:53:51
208 17th Avenue S,Seattle,WA,98144,"$900,000",3,2,"2,460",47.600544,-122.30996,Active,https://www.zillow.com/homedetails/208-17th-Ave-S-Seattle-WA-98144/48861158_zpid/,06-10-2022_19:53:51
8349 17th Avenue NW,Seattle,WA,98117,"$995,000",3,2,"1,760",47.690117,-122.37926,Active,https://www.zillow.com/homedetails/8349-17th-Ave-NW-Seattle-WA-98117/48676747_zpid/,06-10-2022_19:53:51
2421 3rd Avenue W,Seattle,WA,98119,"$2,500,000",4,4,"2,362",47.615654,-122.34701,Active,https://www.zillow.com/homedetails/2421-3rd-Ave-Seattle-WA-98119/2062988650_zpid/,06-10-2022_19:53:51
9606 12th Avenue NW,Seattle,WA,98117,"$1,410,000",4,2,"3,610",47.699455,-122.37098,Active,https://www.zillow.com/homedetails/9606-12th-Ave-NW-Seattle-WA-98117/49009991_zpid/,06-10-2022_19:53:51
8814 28th Avenue SW,Seattle,WA,98126,"$769,000",3,1,"1,190",47.524178,-122.368286,Active,https://www.zillow.com/homedetails/8814-28th-Ave-SW-Seattle-WA-98126/49037841_zpid/,06-10-2022_19:53:51
1206 NE 68th Street,Seattle,WA,98115,"$905,000",4,3,"1,740",47.67825,-122.315315,Active,https://www.zillow.com/homedetails/1206-NE-68th-St-Seattle-WA-98115/48887191_zpid/,06-10-2022_19:53:51
8837 10th Avenue SW,Seattle,WA,98106,"$750,000",3,2,"1,260",47.523594,-122.348274,Active,https://www.zillow.com/homedetails/8837-10th-Ave-SW-Seattle-WA-98106/48717986_zpid/,06-10-2022_19:53:51
3947 S Warsaw Street,Seattle,WA,98118,"$699,950",2,2,"1,060",47.54296,-122.28124,Active,https://www.zillow.com/homedetails/3947-S-Warsaw-St-Seattle-WA-98118/48863785_zpid/,06-10-2022_19:53:51
3104 Western Avenue UNIT 610,Seattle,WA,98121,"$550,000",1,1,794,47.61817,-122.35578,Active,https://www.zillow.com/homedetails/3104-Western-Ave-UNIT-610-Seattle-WA-98121/83231504_zpid/,06-10-2022_19:53:51
3112 SW Avalon Way UNIT 502,Seattle,WA,98126,"$875,000",2,2,"1,860",47.56512,-122.37273,Active,https://www.zillow.com/homedetails/3112-SW-Avalon-Way-UNIT-502-Seattle-WA-98126/72495536_zpid/,06-10-2022_19:53:51
9519 48th Avenue NE,Seattle,WA,98115,"$1,250,000",4,2,"2,820",47.698223,-122.27689,Active,https://www.zillow.com/homedetails/9519-48th-Ave-NE-Seattle-WA-98115/48918816_zpid/,06-10-2022_19:53:51
4313 SW Seattle Street UNIT A,Seattle,WA,98116,"$899,000",3,3,"1,900",47.58898,-122.38671,Active,https://www.zillow.com/homedetails/4313-SW-Seattle-St-A-Seattle-WA-98116/89208908_zpid/,06-10-2022_19:53:51
220 Belmont Avenue E,Seattle,WA,98102,"$3,295,000",3,1,"5,182",47.620342,-122.32369,Active,https://www.zillow.com/homedetails/220-Belmont-Ave-E-Seattle-WA-98102/2072442946_zpid/,06-10-2022_19:53:51
2124 3rd Avenue W,Seattle,WA,98119,"$2,998,000",4,3,"3,490",47.63799,-122.360664,Active,https://www.zillow.com/homedetails/2124-3rd-Ave-W-Seattle-WA-98119/48758448_zpid/,06-10-2022_19:53:51
8502 Interlake Avenue N,Seattle,WA,98103,"$850,000",4,2,"1,800",47.69073,-122.33999,Active,https://www.zillow.com/homedetails/8502-Interlake-Ave-N-Seattle-WA-98103/48699127_zpid/,06-10-2022_19:53:51
13725 39th Avenue NE UNIT B,Seattle,WA,98125,"$749,950",3,2,"1,145",47.729397,-122.28689,Active,https://www.zillow.com/homedetails/13725-39th-Ave-NE-B-Seattle-WA-98125/2063005376_zpid/,06-10-2022_19:53:51
3710 27th Place W UNIT 406,Seattle,WA,98199,"$499,000",2,1,931,47.65326,-122.39107,Active,https://www.zillow.com/homedetails/3710-27th-Pl-W-APT-406-Seattle-WA-98199/49137159_zpid/,06-10-2022_19:53:51
4312 26th Avenue SW,Seattle,WA,98106,"$810,000",3,4,"1,696",47.56502,-122.3651,Active,https://www.zillow.com/homedetails/4312-26th-Ave-SW-Seattle-WA-98106/309710138_zpid/,06-10-2022_19:53:51
8761 15th Avenue NW UNIT B,Seattle,WA,98117,"$995,000",3,3,"1,870",47.693962,-122.37724,Active,https://www.zillow.com/homedetails/8761-15th-Ave-NW-B-Seattle-WA-98117/2068057693_zpid/,06-10-2022_19:53:51
220 Aloha Street UNIT 304,Seattle,WA,98109,"$312,500",1,1,760,,,Active,https://www.zillow.com/homedetails/220-Aloha-St-304-Seattle-WA-98109/2069397797_zpid/,06-10-2022_19:53:51
1212 N 88th Street,Seattle,WA,98103,"$850,000",3,2,"1,220",47.6925,-122.34174,Active,https://www.zillow.com/homedetails/1212-N-88th-St-Seattle-WA-98103/63562149_zpid/,06-10-2022_19:53:51
10601 Bagley Avenue N UNIT 304,Seattle,WA,98133,"$370,500",1,2,873,47.706165,-122.332924,Active,https://www.zillow.com/homedetails/10601-Bagley-Ave-N-UNIT-304-Seattle-WA-98133/48993503_zpid/,06-10-2022_19:53:51
6600 Linden Avenue N,Seattle,WA,98103,"$699,999",3,2,"1,010",47.677055,-122.34707,Active,https://www.zillow.com/homedetails/6600-Linden-Ave-N-Seattle-WA-98103/48759947_zpid/,06-10-2022_19:53:51
12050 15 Avenue NE UNIT 403,Seattle,WA,98125,"$299,000",1,1,547,47.717266,-122.312195,Active,https://www.zillow.com/homedetails/12050-15th-Ave-NE-APT-403-Seattle-WA-98125/48821542_zpid/,06-10-2022_19:53:51
2440 55th Avenue SW,Seattle,WA,98116,"$899,000",2,2,"1,498",47.5812,-122.402435,Active,https://www.zillow.com/homedetails/2440-55th-Ave-SW-Seattle-WA-98116/49131832_zpid/,06-10-2022_19:53:51
9014 20th Avenue NE,Seattle,WA,98115,"$750,000",3,2,"1,150",47.694393,-122.3065,Active,https://www.zillow.com/homedetails/9014-20th-Ave-NE-Seattle-WA-98115/49091512_zpid/,06-10-2022_19:53:51
D Plan,,,,"$600,000",1,1,765,47.61834,-122.344505,New construction,https://www.zillow.com/community/spire/2068749298_zpid/,06-10-2022_19:53:51
6044 25th Avenue NE,Seattle,WA,98115,"$850,000",2,1,"1,543",47.67345,-122.300316,Active,https://www.zillow.com/homedetails/6044-25th-Ave-NE-Seattle-WA-98115/48761897_zpid/,06-10-2022_19:53:51
3556 S Morgan Street,Seattle,WA,98118,"$595,000",2,1,"1,600",47.544476,-122.286354,Active,https://www.zillow.com/homedetails/3556-S-Morgan-St-Seattle-WA-98118/48863875_zpid/,06-10-2022_19:53:51
Plan B3 Plan,,,,"$1,198,880",2,2,"1,580",47.677258,-122.30365,New construction,https://www.zillow.com/community/winston/2071202820_zpid/,06-10-2022_19:53:51
12539 19th Avenue NE,Seattle,WA,98125,"$730,000",3,1,880,47.72079,-122.30961,Active,https://www.zillow.com/homedetails/12539-19th-Ave-NE-Seattle-WA-98125/48708201_zpid/,06-10-2022_19:53:51
906 N 39th Street,Seattle,WA,98103,"$924,950",2,1,"1,700",47.654324,-122.346886,Active,https://www.zillow.com/homedetails/906-N-39th-St-Seattle-WA-98103/48769237_zpid/,06-10-2022_19:53:51
228 24th Avenue E UNIT B,Seattle,WA,98112,"$885,000",3,2,"1,390",47.62114,-122.3007,Active,https://www.zillow.com/homedetails/228-24th-Ave-E-B-Seattle-WA-98112/2069397978_zpid/,06-10-2022_19:53:51
3024 NE 133rd Street,Seattle,WA,98125,"$745,000",3,2,"1,320",47.724922,-122.29531,Active,https://www.zillow.com/homedetails/3024-NE-133rd-St-Everett-WA-98125/48734922_zpid/,06-10-2022_19:53:51
1927 8th Avenue W UNIT C,Seattle,WA,98119,"$1,299,000",2,2,"1,420",47.63666,-122.3681,Active,https://www.zillow.com/homedetails/1927-8th-Ave-W-C-Seattle-WA-98119/241742654_zpid/,06-10-2022_19:53:51
3046 NW 73rd Street,Seattle,WA,98117,"$1,525,000",5,3,"2,990",47.68186,-122.39776,Active,https://www.zillow.com/homedetails/3046-NW-73rd-St-Seattle-WA-98117/48831675_zpid/,06-10-2022_19:53:51
10528 15th Avenue NW,Seattle,WA,98177,"$2,688,000",5,3,"3,602",47.70602,-122.37629,Active,https://www.zillow.com/homedetails/10528-15th-Ave-NW-Seattle-WA-98177/2067099659_zpid/,06-10-2022_19:53:51
223 NW 87th Street,Seattle,WA,98117,"$1,250,000",3,4,"2,004",47.692314,-122.360275,Active,https://www.zillow.com/homedetails/223-NW-87th-St-Seattle-WA-98117/119898635_zpid/,06-10-2022_19:53:51
3837 Ashworth Avenue N,Seattle,WA,98103,"$1,200,000",3,4,"1,720",47.65377,-122.34042,Active,https://www.zillow.com/homedetails/3837-Ashworth-Ave-N-Seattle-WA-98103/49077041_zpid/,06-10-2022_19:53:51
583 Battery Street UNIT 210,Seattle,WA,98121,"$689,500",1,-,994,47.61709,-122.34361,Active,https://www.zillow.com/homedetails/583-Battery-St-210-Seattle-WA-98121/2075137586_zpid/,06-10-2022_19:53:51
8327 44th Avenue S,Seattle,WA,98118,"$1,199,999",7,5,"3,420",47.528397,-122.278366,Active,https://www.zillow.com/homedetails/8327-44th-Ave-S-Seattle-WA-98118/48909038_zpid/,06-10-2022_19:53:51
2000 Alaskan Way UNIT 553,Seattle,WA,98121,"$649,000",1,1,924,47.60957,-122.34472,Active,https://www.zillow.com/homedetails/2000-Alaskan-Way-APT-553-Seattle-WA-98121/58390759_zpid/,06-10-2022_19:53:51
3230 S Hanford Street,Seattle,WA,98144,"$950,000",3,2,"2,860",47.575634,-122.29112,Active,https://www.zillow.com/homedetails/3230-S-Hanford-St-Seattle-WA-98144/48973736_zpid/,06-10-2022_19:53:51
636 W Mercer Place,Seattle,WA,98119,"$1,200,000",6,2,"2,420",47.62612,-122.365944,Active,https://www.zillow.com/homedetails/636-W-Mercer-Pl-Seattle-WA-98119/48901540_zpid/,06-10-2022_19:53:51
303 23rd Avenue S UNIT 309,Seattle,WA,98144,"$365,000",1,1,625,47.600033,-122.30256,Active,https://www.zillow.com/homedetails/303-23rd-Ave-S-APT-309-Seattle-WA-98144/55252555_zpid/,06-10-2022_19:53:51
8312 11th Avenue NW UNIT A,Seattle,WA,98117,"$825,999",2,3,950,47.68918,-122.37007,Active,https://www.zillow.com/homedetails/8312-11th-Ave-NW-A-Seattle-WA-98117/2063074623_zpid/,06-10-2022_19:53:51
8314 11th Avenue NW UNIT A,Seattle,WA,98117,"$879,999",2,3,950,47.690063,-122.37043,Active,https://www.zillow.com/homedetails/8314-11th-Ave-NW-A-Seattle-WA-98117/2063074624_zpid/,06-10-2022_19:53:51
8314 11th Avenue NW UNIT B,Seattle,WA,98117,"$799,999",2,3,950,47.690063,-122.37043,Active,https://www.zillow.com/homedetails/8314-11th-Ave-NW-B-Seattle-WA-98117/2063074625_zpid/,06-10-2022_19:53:51
6318 5th Avenue NE UNIT E,Seattle,WA,98115,"$685,000",1,1,965,47.674866,-122.3231,Active,https://www.zillow.com/homedetails/6318-5th-Ave-NE-APT-E-Seattle-WA-98115/58388139_zpid/,06-10-2022_19:53:51
3007 66th Ave SW UNIT B,Seattle,WA,98116,"$1,698,000",4,3,"2,668",,,Active,https://www.zillow.com/homedetails/3007-66th-Ave-SW-B-Seattle-WA-98116/2063096409_zpid/,06-10-2022_19:53:51
7826 Lake City Way NE,Seattle,WA,98115,"$955,000",4,2,"1,700",47.6856,-122.31441,Active,https://www.zillow.com/homedetails/7826-Lake-City-Way-NE-Seattle-WA-98115/48840067_zpid/,06-10-2022_19:53:51
519 W Roy Street UNIT 408,Seattle,WA,98119,"$330,000",,1,515,47.62563,-122.36413,Active,https://www.zillow.com/homedetails/519-W-Roy-St-APT-408-Seattle-WA-98119/49050708_zpid/,06-10-2022_19:53:51
8107 21st Avenue NE,Seattle,WA,98115,"$999,950",3,1,"1,730",47.687347,-122.30582,Active,https://www.zillow.com/homedetails/8107-21st-Ave-NE-Seattle-WA-98115/48849203_zpid/,06-10-2022_19:53:51
311 E Republican Street UNIT 301,Seattle,WA,98102,"$620,000",2,2,950,47.622967,-122.32751,Active,https://www.zillow.com/homedetails/311-E-Republican-St-APT-301-Seattle-WA-98102/63320827_zpid/,06-10-2022_19:53:51
2510 6th Avenue UNIT 2301,Seattle,WA,98121,"$783,000",1,1,765,47.61834,-122.344444,Active,https://www.zillow.com/homedetails/2510-6th-Ave-2301-Seattle-WA-98121/2063109200_zpid/,06-10-2022_19:53:51
2033 2nd Avenue UNIT 1505,Seattle,WA,98121,"$509,000",1,1,603,47.612144,-122.342964,Active,https://www.zillow.com/homedetails/2033-2nd-Ave-APT-1505-Seattle-WA-98121/65228907_zpid/,06-10-2022_19:53:51
2001 Westlake Avenue N UNIT 33,Seattle,WA,98109,"$550,000",2,1,900,47.636856,-122.3408,Active,https://www.zillow.com/homedetails/2001-Westlake-Ave-N-UNIT-33-Seattle-WA-98109/49099138_zpid/,06-10-2022_19:53:51
425 Vine Avenue UNIT 516,Seattle,WA,98121,"$540,000",2,2,665,47.61753,-122.346245,Active,https://www.zillow.com/homedetails/425-Vine-St-APT-516-Seattle-WA-98121/58386846_zpid/,06-10-2022_19:53:51
303 23rd Avenue S UNIT 312,Seattle,WA,98144,"$350,000",1,1,505,47.600033,-122.30256,Active,https://www.zillow.com/homedetails/303-23rd-Ave-S-APT-312-Seattle-WA-98144/2084731196_zpid/,06-10-2022_19:53:51
2721 1st Avenue UNIT 207,Seattle,WA,98121,"$709,900",2,2,"1,117",47.61616,-122.35152,Active,https://www.zillow.com/homedetails/2721-1st-Ave-UNIT-207-Seattle-WA-98121/63925088_zpid/,06-10-2022_19:53:51
