address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
Sancta Plan,,,,"$2,265,990",7,8,"6,529",36.13368,-115.25201,New construction,2063412270,https://www.zillow.com/community/prado/2063412270_zpid/,06-10-2022_19:30:32
Oleander Plan,,,,"$484,950",3,3,"1,806",36.002323,-115.19008,New construction,2063246276,https://www.zillow.com/community/seasons-at-monarch-valley/2063246276_zpid/,06-10-2022_19:30:32
1501 Cedar Rock Ln UNIT 202,Las Vegas,NV,89128,"$259,999",2,2,"1,136",36.188145,-115.26725,Condo for sale,6966735,https://www.zillow.com/homedetails/1501-Cedar-Rock-Ln-UNIT-202-Las-Vegas-NV-89128/6966735_zpid/,06-10-2022_19:30:32
Unit 1366 Plan,,,,"$308,990",3,3,"1,366",36.19054,-115.18642,New construction,2065733824,https://www.zillow.com/community/arcadia/2065733824_zpid/,06-10-2022_19:30:32
Avella Plan,,,,"$549,995",3,3,"2,263",36.318966,-115.32294,New construction,2063432186,https://www.zillow.com/community/toll-brothers-at-skye-canyon-paloma-collection/2063432186_zpid/,06-10-2022_19:30:32
9677 Emeraude Ave,Las Vegas,NV,89147,"$405,000",2,2,"1,305",36.10324,-115.30362,Townhouse for sale,7131995,https://www.zillow.com/homedetails/9677-Emeraude-Ave-Las-Vegas-NV-89147/7131995_zpid/,06-10-2022_19:30:32
6541 Gatehouse Ln,Las Vegas,NV,89108,"$360,000",2,2,"1,265",36.229336,-115.23881,House for sale,6930968,https://www.zillow.com/homedetails/6541-Gatehouse-Ln-Las-Vegas-NV-89108/6930968_zpid/,06-10-2022_19:30:32
7505 Shangri La Ave,Las Vegas,NV,89147,"$470,000",3,3,"1,853",36.10134,-115.255226,House for sale,7137392,https://www.zillow.com/homedetails/7505-Shangri-La-Ave-Las-Vegas-NV-89147/7137392_zpid/,06-10-2022_19:30:32
7912 Shelter Island Way,Las Vegas,NV,89145,"$439,990",3,2,"1,471",36.159603,-115.26738,Townhouse for sale,6974475,https://www.zillow.com/homedetails/7912-Shelter-Island-Way-Las-Vegas-NV-89145/6974475_zpid/,06-10-2022_19:30:32
PLAN 1865 Plan,,,,"$472,990",4,3,"1,865",36.25732,-115.3232,New construction,2066536295,https://www.zillow.com/community/acacia-bay/2066536295_zpid/,06-10-2022_19:30:32
