address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
621 E 3rd St #3,South Boston,MA,02127,"$799,000",2,2,880,42.33636,-71.03485,Townhouse for sale,113389940,https://www.zillow.com/homedetails/621-E-3rd-St-3-South-Boston-MA-02127/113389940_zpid/,06-10-2022_19:28:53
21 Father Francis Gilday St APT 507,Boston,MA,02118,"$849,000",1,2,"1,138",42.337063,-71.07364,Condo for sale,81856678,https://www.zillow.com/homedetails/21-Father-Francis-Gilday-St-APT-507-Boston-MA-02118/81856678_zpid/,06-10-2022_19:28:53
14 Homewood Rd,West Roxbury,MA,02132,"$845,000",3,2,"1,715",42.27785,-71.15668,House for sale,59158329,https://www.zillow.com/homedetails/14-Homewood-Rd-West-Roxbury-MA-02132/59158329_zpid/,06-10-2022_19:28:53
632 Beech St,Roslindale,MA,02131,"$709,000",4,3,"1,887",42.27226,-71.1273,House for sale,59146340,https://www.zillow.com/homedetails/632-Beech-St-Roslindale-MA-02131/59146340_zpid/,06-10-2022_19:28:53
55 Lagrange St #14B,Boston,MA,02116,"$985,000",1,1,570,42.351757,-71.06404,Condo for sale,2063039252,https://www.zillow.com/homedetails/55-Lagrange-St-14B-Boston-MA-02116/2063039252_zpid/,06-10-2022_19:28:53
55 Lagrange St #5D,Boston,MA,02116,"$1,475,000",2,2,"1,041",42.351757,-71.06404,Condo for sale,2063039433,https://www.zillow.com/homedetails/55-Lagrange-St-5D-Boston-MA-02116/2063039433_zpid/,06-10-2022_19:28:53
55 Lagrange St #5F,Boston,MA,02116,"$635,000",,1,455,42.351757,-71.06404,Condo for sale,2063039445,https://www.zillow.com/homedetails/55-Lagrange-St-5F-Boston-MA-02116/2063039445_zpid/,06-10-2022_19:28:53
55 Lagrange St #9G,Boston,MA,02116,"$915,000",1,1,655,42.351757,-71.06404,Condo for sale,2063039446,https://www.zillow.com/homedetails/55-Lagrange-St-9G-Boston-MA-02116/2063039446_zpid/,06-10-2022_19:28:53
55 Lagrange St #14J,Boston,MA,02116,"$939,000",,1,579,42.351757,-71.06404,Condo for sale,2063039457,https://www.zillow.com/homedetails/55-Lagrange-St-14J-Boston-MA-02116/2063039457_zpid/,06-10-2022_19:28:53
55 Lagrange St #7A,Boston,MA,02116,"$755,000",,1,537,42.351757,-71.06404,Condo for sale,2063039465,https://www.zillow.com/homedetails/55-Lagrange-St-7A-Boston-MA-02116/2063039465_zpid/,06-10-2022_19:28:53
18 Morrill St,Dorchester,MA,02125,"$1,175,000",6,2,"2,335",42.316196,-71.060555,House for sale,59109622,https://www.zillow.com/homedetails/18-Morrill-St-Dorchester-MA-02125/59109622_zpid/,06-10-2022_19:28:53
133 Seaport Blvd #1915,Boston,MA,02210,"$1,289,000",1,1,800,42.351147,-71.04449,Condo for sale,333606158,https://www.zillow.com/homedetails/133-Seaport-Blvd-1915-Boston-MA-02210/333606158_zpid/,06-10-2022_19:28:53
133 Seaport Blvd UNIT 2005,Boston,MA,02210,"$1,279,000",1,1,682,42.351147,-71.04449,Condo for sale,333606166,https://www.zillow.com/homedetails/133-Seaport-Blvd-UNIT-2005-Boston-MA-02210/333606166_zpid/,06-10-2022_19:28:53
300 Commercial St APT 502,Boston,MA,02109,"$579,000",,1,553,42.365116,-71.05146,Condo for sale,59164494,https://www.zillow.com/homedetails/300-Commercial-St-APT-502-Boston-MA-02109/59164494_zpid/,06-10-2022_19:28:53
177 Beacon St APT 3,Boston,MA,02116,"$1,895,000",3,2,"1,380",42.35426,-71.07582,Condo for sale,59171944,https://www.zillow.com/homedetails/177-Beacon-St-APT-3-Boston-MA-02116/59171944_zpid/,06-10-2022_19:28:53
47 Forbes St #2,Boston,MA,02130,"$1,295,000",4,3,"2,101",42.320908,-71.10681,Condo for sale,190073420,https://www.zillow.com/homedetails/47-Forbes-St-2-Boston-MA-02130/190073420_zpid/,06-10-2022_19:28:53
661 Bennington St #3,East Boston,MA,02128,"$599,000",2,2,941,42.383686,-71.01468,Condo for sale,81378802,https://www.zillow.com/homedetails/661-Bennington-St-3-East-Boston-MA-02128/81378802_zpid/,06-10-2022_19:28:53
26 Running Brook Rd,West Roxbury,MA,02132,"$650,000",3,2,"1,869",42.26425,-71.15121,House for sale,59161543,https://www.zillow.com/homedetails/26-Running-Brook-Rd-West-Roxbury-MA-02132/59161543_zpid/,06-10-2022_19:28:53
