address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
2121 Fountain View Dr APT 3,Houston,TX,77057,"$109,900",1,1,616,29.744905,-95.48468,Condo for sale,https://www.zillow.com/homedetails/2121-Fountain-View-Dr-APT-3-Houston-TX-77057/28325414_zpid/,06-23-2022_21:17:09,28325414,1 day on Zillow
17003 Woodburn Dr,Houston,TX,77049,"$205,000",3,2,"1,263",29.858812,-95.13379,House for sale,https://www.zillow.com/homedetails/17003-Woodburn-Dr-Houston-TX-77049/28076693_zpid/,06-23-2022_21:17:09,28076693,1 day on Zillow
520 Dale St,Houston,TX,77060,"$245,000",3,2,"1,428",29.90349,-95.39368,Multi-family home for sale,https://www.zillow.com/homedetails/520-Dale-St-Houston-TX-77060/27899226_zpid/,06-23-2022_21:17:09,27899226,1 day on Zillow
1860 White Oak Dr APT 228,Houston,TX,77009,"$230,000",2,2,"1,027",29.78205,-95.37726,Condo for sale,https://www.zillow.com/homedetails/1860-White-Oak-Dr-APT-228-Houston-TX-77009/2088673458_zpid/,06-23-2022_21:17:09,2088673458,Open: Sat. 2-5pm
15403 Broken Hills Ln,Houston,TX,77044,"$525,000",4,4,"3,094",29.94268,-95.17371,House for sale,https://www.zillow.com/homedetails/15403-Broken-Hills-Ln-Houston-TX-77044/125088847_zpid/,06-23-2022_21:17:09,125088847,Open: Sat. 12-2pm
715 Azaleadell Dr,Houston,TX,77018,"$675,000",3,2,"2,070",29.82821,-95.4132,House for sale,https://www.zillow.com/homedetails/715-Azaleadell-Dr-Houston-TX-77018/27972279_zpid/,06-23-2022_21:17:09,27972279,Open: Sun. 2-4pm
2204 Ann St,Houston,TX,77003,"$324,900",2,2,"1,734",29.760777,-95.34624,Townhouse for sale,https://www.zillow.com/homedetails/2204-Ann-St-Houston-TX-77003/63347184_zpid/,06-23-2022_21:17:09,63347184,Open: Sat. 2-4pm
2213 Lee St,Houston,TX,77026,"$189,999",,,"6,177",29.781727,-95.34703,Lot / Land for sale,https://www.zillow.com/homedetails/2213-Lee-St-Houston-TX-77026/27753683_zpid/,06-23-2022_21:17:09,27753683,1 day on Zillow
9307 Concourse Dr,Houston,TX,77036,"$249,999",3,2,"1,777",29.683796,-95.55525,House for sale,https://www.zillow.com/homedetails/9307-Concourse-Dr-Houston-TX-77036/28316771_zpid/,06-23-2022_21:17:09,28316771,1 day on Zillow
966 Grenshaw St,Houston,TX,77088,"$135,000",,,"7,200",29.88095,-95.42399,Lot / Land for sale,https://www.zillow.com/homedetails/966-Grenshaw-St-Houston-TX-77088/27900870_zpid/,06-23-2022_21:17:09,27900870,1 day on Zillow
413 Stonework Landing Ln,Houston,TX,77076,"$312,400",3,3,"1,568",,,New construction,https://www.zillow.com/homedetails/413-Stonework-Landing-Ln-Houston-TX-77076/2062669626_zpid/,06-23-2022_21:17:09,2062669626,Open: Fri. 12-5pm
11327 Stonework Grove Ln,Houston,TX,77076,"$284,900",3,3,"1,568",,,New construction,https://www.zillow.com/homedetails/11327-Stonework-Grove-Ln-Houston-TX-77076/2062669739_zpid/,06-23-2022_21:17:09,2062669739,Open: Fri. 12-5pm
11329 Stonework Grove Ln,Houston,TX,77076,"$279,900",3,3,"1,465",,,New construction,https://www.zillow.com/homedetails/11329-Stonework-Grove-Ln-Houston-TX-77076/2062669806_zpid/,06-23-2022_21:17:09,2062669806,Open: Fri. 12-5pm
5423 Willow Glen Dr,Houston,TX,77033,"$177,200",3,1,"1,209",29.671007,-95.34068,House for sale,https://www.zillow.com/homedetails/5423-Willow-Glen-Dr-Houston-TX-77033/27974918_zpid/,06-23-2022_21:17:09,27974918,1 day on Zillow
1978 Fairview Ave,Houston,TX,77019,"$507,000",3,4,"2,110",,,Townhouse for sale,https://www.zillow.com/homedetails/1978-Fairview-Ave-Houston-TX-77019/2069662013_zpid/,06-23-2022_21:17:09,2069662013,Open: Sun. 2-4pm
15919 Meadowside Dr,Houston,TX,77062,"$395,000",3,2,"2,267",29.579767,-95.11561,House for sale,https://www.zillow.com/homedetails/15919-Meadowside-Dr-Houston-TX-77062/28486500_zpid/,06-23-2022_21:17:09,28486500,Open: Sat. 11am-1pm
3120 Wentworth St,Houston,TX,77004,"$150,000",,,"5,249",29.7203,-95.36657,Lot / Land for sale,https://www.zillow.com/homedetails/3120-Wentworth-St-Houston-TX-77004/160277196_zpid/,06-23-2022_21:17:09,160277196,1 day on Zillow
4202 Nichols St,Houston,TX,77020,"$89,900",,,"6,469",29.78069,-95.32848,Lot / Land for sale,https://www.zillow.com/homedetails/4202-Nichols-St-Houston-TX-77020/97596825_zpid/,06-23-2022_21:17:09,97596825,1 day on Zillow
813 Bringhurst St,Houston,TX,77020,"$420,000",2,3,"1,680",29.76902,-95.33403,New construction,https://www.zillow.com/homedetails/813-Bringhurst-St-Houston-TX-77020/161441487_zpid/,06-23-2022_21:17:09,161441487,1 day on Zillow
1915 Conifer Creek Trl,Kingwood,TX,77345,"$599,000",4,4,"3,879",30.048944,-95.143105,House for sale,https://www.zillow.com/homedetails/1915-Conifer-Creek-Trl-Kingwood-TX-77345/70306167_zpid/,06-23-2022_21:17:09,70306167,Open: Sat. 1-3pm
2126 Woodcrest Dr,Houston,TX,77018,"$510,000",3,2,"2,107",29.822046,-95.44988,House for sale,https://www.zillow.com/homedetails/2126-Woodcrest-Dr-Houston-TX-77018/27912881_zpid/,06-23-2022_21:17:09,27912881,Open: Sat. 12-2pm
819 Bringhurst St,Houston,TX,77020,"$550,000",3,4,"2,312",29.768982,-95.3342,New construction,https://www.zillow.com/homedetails/819-Bringhurst-St-Houston-TX-77020/161442271_zpid/,06-23-2022_21:17:09,161442271,1 day on Zillow
5431 Dunnethead Dr,Houston,TX,77084,"$269,995",4,2,"1,882",29.857494,-95.65595,House for sale,https://www.zillow.com/homedetails/5431-Dunnethead-Dr-Houston-TX-77084/28311291_zpid/,06-23-2022_21:17:09,28311291,1 day on Zillow
4101 Maggie St #3,Houston,TX,77051,"$350,000",3,4,"1,780",29.66238,-95.36776,New construction,https://www.zillow.com/homedetails/4101-Maggie-St-3-Houston-TX-77051/2062675634_zpid/,06-23-2022_21:17:09,2062675634,1 day on Zillow
4101 Maggie St #6,Houston,TX,77051,"$350,000",3,4,"1,780",29.66238,-95.36776,New construction,https://www.zillow.com/homedetails/4101-Maggie-St-6-Houston-TX-77051/2062675645_zpid/,06-23-2022_21:17:09,2062675645,1 day on Zillow
9107 Barton St,Houston,TX,77075,"$146,999",3,2,"1,272",29.642262,-95.25453,House for sale,https://www.zillow.com/homedetails/9107-Barton-St-Houston-TX-77075/27856005_zpid/,06-23-2022_21:17:09,27856005,1 day on Zillow
