address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,listing_id,list_url,date_scraped
500 S Clinton St APT 841,Chicago,IL,60607,"$339,000",2,2,"1,309",41.875015,-87.64117,New,62013488,https://www.zillow.com/homedetails/500-S-Clinton-St-APT-841-Chicago-IL-60607/62013488_zpid/,06-10-2022_19:19:22
33 E Cedar St APT 17D,Chicago,IL,60611,"$209,000",1,1,800,41.90219,-87.62698,New,3847332,https://www.zillow.com/homedetails/33-E-Cedar-St-APT-17D-Chicago-IL-60611/3847332_zpid/,06-10-2022_19:19:22
12901 S Manistee Ave,Chicago,IL,60633,"$239,000",3,2,"1,220",41.66087,-87.55528,New,4174552,https://www.zillow.com/homedetails/12901-S-Manistee-Ave-Chicago-IL-60633/4174552_zpid/,06-10-2022_19:19:22
8023 S Kilpatrick Ave,Chicago,IL,60652,"$265,000",3,2,"1,500",41.74688,-87.73774,New,3970800,https://www.zillow.com/homedetails/8023-S-Kilpatrick-Ave-Chicago-IL-60652/3970800_zpid/,06-10-2022_19:19:22
1145 W 17th St,Chicago,IL,60608,"$299,999",5,2,--,41.858616,-87.65516,New,2084484611,https://www.zillow.com/homedetails/1145-W-17th-St-Chicago-IL-60608/2084484611_zpid/,06-10-2022_19:19:22
5608 S McVicker Ave,Chicago,IL,60638,"$389,000",3,2,"2,058",41.790306,-87.773544,New,3940735,https://www.zillow.com/homedetails/5608-S-McVicker-Ave-Chicago-IL-60638/3940735_zpid/,06-10-2022_19:19:22
8054 S Marquette Ave,Chicago,IL,60617,"$124,900",4,2,"1,100",41.74844,-87.559235,New,4026715,https://www.zillow.com/homedetails/8054-S-Marquette-Ave-Chicago-IL-60617/4026715_zpid/,06-10-2022_19:19:22
41 E 8th St APT 1403,Chicago,IL,60605,"$379,900",2,2,"1,310",41.871723,-87.626656,New,65569395,https://www.zillow.com/homedetails/41-E-8th-St-APT-1403-Chicago-IL-60605/65569395_zpid/,06-10-2022_19:19:22
5741 S Calumet Ave APT 2S,Chicago,IL,60637,"$175,000",3,2,"1,300",41.79037,-87.6173,New,80835559,https://www.zillow.com/homedetails/5741-S-Calumet-Ave-APT-2S-Chicago-IL-60637/80835559_zpid/,06-10-2022_19:19:22
2114 W 112th St,Chicago,IL,60643,"$389,900",5,2,"1,871",41.69016,-87.674385,New,4147972,https://www.zillow.com/homedetails/2114-W-112th-St-Chicago-IL-60643/4147972_zpid/,06-10-2022_19:19:22
