address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_id,listing_time
5631 McMahon St,Philadelphia,PA,19144,"$25,000",,,"1,686",40.04354,-75.16453,Lot / Land for sale,https://www.zillow.com/homedetails/5631-McMahon-St-Philadelphia-PA-19144/2068908226_zpid/,06-23-2022_21:18:45,2068908226,2 days on Zillow
1540 S 17th St,Philadelphia,PA,19146,"$810,000",4,4,--,39.931213,-75.17337,New construction,https://www.zillow.com/homedetails/1540-S-17th-St-Philadelphia-PA-19146/2072258258_zpid/,06-23-2022_21:18:45,2072258258,2 days on Zillow
5621 McMahon Ave,Philadelphia,PA,19144,"$239,900",4,3,"1,334",40.043415,-75.164314,House for sale,https://www.zillow.com/homedetails/5621-McMahon-Ave-Philadelphia-PA-19144/10230848_zpid/,06-23-2022_21:18:45,10230848,3 days on Zillow
2309 Fairmount Ave,Philadelphia,PA,19130,"$849,000",4,3,"2,196",39.967583,-75.1757,Townhouse for sale,https://www.zillow.com/homedetails/2309-Fairmount-Ave-Philadelphia-PA-19130/10243814_zpid/,06-23-2022_21:18:45,10243814,3 days on Zillow
2505 N 20th St,Philadelphia,PA,19132,"$40,000",,,672,39.99222,-75.164474,Lot / Land for sale,https://www.zillow.com/homedetails/2505-N-20th-St-Philadelphia-PA-19132/10247934_zpid/,06-23-2022_21:18:45,10247934,"Price cut: $10,000 (Jun 21)"
5815 N 16th St,Philadelphia,PA,19141,"$280,000",4,2,"1,600",40.041862,-75.146645,Townhouse for sale,https://www.zillow.com/homedetails/5815-N-16th-St-Philadelphia-PA-19141/10252881_zpid/,06-23-2022_21:18:45,10252881,3 days on Zillow
6420 N Woodstock St,Philadelphia,PA,19138,"$160,000",3,1,"1,212",40.052402,-75.15397,Townhouse for sale,https://www.zillow.com/homedetails/6420-N-Woodstock-St-Philadelphia-PA-19138/10255134_zpid/,06-23-2022_21:18:45,10255134,3 days on Zillow
1213 E Susquehanna Ave,Philadelphia,PA,19125,"$575,000",4,3,"3,090",39.97267,-75.1248,Townhouse for sale,https://www.zillow.com/homedetails/1213-E-Susquehanna-Ave-Philadelphia-PA-19125/10257615_zpid/,06-23-2022_21:18:45,10257615,Open: Sat. 11am-1pm
235 W Thompson St,Philadelphia,PA,19122,"$350,000",2,2,"1,600",39.971077,-75.1405,Townhouse for sale,https://www.zillow.com/homedetails/235-W-Thompson-St-Philadelphia-PA-19122/10259293_zpid/,06-23-2022_21:18:45,10259293,Open: Sun. 12-2pm
11 E Jefferson St,Philadelphia,PA,19125,"$385,000",3,2,"1,119",39.97312,-75.13451,Townhouse for sale,https://www.zillow.com/homedetails/11-E-Jefferson-St-Philadelphia-PA-19125/10259323_zpid/,06-23-2022_21:18:45,10259323,Open: Sat. 11am-1pm
1735 Blair St,Philadelphia,PA,19125,"$329,900",2,2,"1,344",39.975433,-75.133224,Townhouse for sale,https://www.zillow.com/homedetails/1735-Blair-St-Philadelphia-PA-19125/10259967_zpid/,06-23-2022_21:18:45,10259967,3 days on Zillow
3640 Sepviva St,Philadelphia,PA,19134,"$169,000",2,1,"1,049",39.996597,-75.09839,Townhouse for sale,https://www.zillow.com/homedetails/3640-Sepviva-St-Philadelphia-PA-19134/10445382_zpid/,06-23-2022_21:18:45,10445382,3 days on Zillow
2241 Simon St,Philadelphia,PA,19137,"$109,900",2,1,822,40.010494,-75.065025,Townhouse for sale,https://www.zillow.com/homedetails/2241-Simon-St-Philadelphia-PA-19137/10451097_zpid/,06-23-2022_21:18:45,10451097,3 days on Zillow
1839 McClellan St,Philadelphia,PA,19145,"$199,000",2,1,"1,200",39.928684,-75.17644,Townhouse for sale,https://www.zillow.com/homedetails/1839-McClellan-St-Philadelphia-PA-19145/10456696_zpid/,06-23-2022_21:18:45,10456696,3D Homes Icon3D Tour
528 W Fisher Ave,Philadelphia,PA,19120,"$194,900",3,2,"1,088",40.03184,-75.13272,Townhouse for sale,https://www.zillow.com/homedetails/528-W-Fisher-Ave-Philadelphia-PA-19120/10466204_zpid/,06-23-2022_21:18:45,10466204,3 days on Zillow
2123 N Wanamaker St,Philadelphia,PA,19131,"$185,000",3,2,"1,386",39.986668,-75.238594,Townhouse for sale,https://www.zillow.com/homedetails/2123-N-Wanamaker-St-Philadelphia-PA-19131/10489620_zpid/,06-23-2022_21:18:45,10489620,Open: Sat. 1-2pm
1332 Unruh Ave,Philadelphia,PA,19111,"$244,900",3,1,"1,212",40.044437,-75.07656,Townhouse for sale,https://www.zillow.com/homedetails/1332-Unruh-Ave-Philadelphia-PA-19111/10493449_zpid/,06-23-2022_21:18:45,10493449,3 days on Zillow
3421 Disston St,Philadelphia,PA,19149,"$338,000",3,2,"1,344",40.033665,-75.04806,Townhouse for sale,https://www.zillow.com/homedetails/3421-Disston-St-Philadelphia-PA-19149/10506509_zpid/,06-23-2022_21:18:45,10506509,3 days on Zillow
3224 Brighton St,Philadelphia,PA,19149,"$389,900",3,1,"1,400",40.036156,-75.049866,House for sale,https://www.zillow.com/homedetails/3224-Brighton-St-Philadelphia-PA-19149/10506773_zpid/,06-23-2022_21:18:45,10506773,3 days on Zillow
2922 Princeton Ave,Philadelphia,PA,19149,"$300,000",3,2,"1,224",40.03966,-75.05449,Townhouse for sale,https://www.zillow.com/homedetails/2922-Princeton-Ave-Philadelphia-PA-19149/10506989_zpid/,06-23-2022_21:18:45,10506989,3 days on Zillow
1426 N Franklin St #1,Philadelphia,PA,19122,"$499,900",3,3,"2,040",39.97386,-75.1485,New construction,https://www.zillow.com/homedetails/1426-N-Franklin-St-1-Philadelphia-PA-19122/2062684745_zpid/,06-23-2022_21:18:45,2062684745,3D Homes Icon3D Tour
3206 Parkview Walk #3206,Philadelphia,PA,19125,"$1,369,000",4,5,"3,844",,,New construction,https://www.zillow.com/homedetails/3206-Parkview-Walk-3206-Philadelphia-PA-19125/2063059033_zpid/,06-23-2022_21:18:45,2063059033,Open: Sun. 11am-1pm
2842 N 9th St,Philadelphia,PA,19133,"$990,000",,,,,,Lot / Land for sale,https://www.zillow.com/homedetails/2842-N-9th-St-Philadelphia-PA-19133/2081760839_zpid/,06-23-2022_21:18:45,2081760839,3 days on Zillow
6140 Wayne Ave APT 1,Philadelphia,PA,19144,"$65,000",2,2,"1,200",40.035553,-75.18577,Condo for sale,https://www.zillow.com/homedetails/6140-Wayne-Ave-APT-1-Philadelphia-PA-19144/2097117868_zpid/,06-23-2022_21:18:45,2097117868,3 days on Zillow
3601 Meridian St,Philadelphia,PA,19136,"$299,900",2,-,"1,408",40.040665,-75.03308,Multi-family home for sale,https://www.zillow.com/homedetails/3601-Meridian-St-Philadelphia-PA-19136/2124152713_zpid/,06-23-2022_21:18:45,2124152713,Open: Sun. 1-3pm
1201 Fitzwater St UNIT 209,Philadelphia,PA,19147,"$350,000",2,1,"1,023",39.941708,-75.16251,Condo for sale,https://www.zillow.com/homedetails/1201-Fitzwater-St-UNIT-209-Philadelphia-PA-19147/2127135446_zpid/,06-23-2022_21:18:45,2127135446,3 days on Zillow
10855 Academy Rd,Philadelphia,PA,19154,"$469,900",4,-,"1,800",40.0827,-74.9921,Multi-family home for sale,https://www.zillow.com/homedetails/10855-Academy-Rd-Philadelphia-PA-19154/2141189529_zpid/,06-23-2022_21:18:45,2141189529,3 days on Zillow
1229 Annin St,Philadelphia,PA,19147,"$629,000",4,4,"2,500",39.935925,-75.164406,Townhouse for sale,https://www.zillow.com/homedetails/1229-Annin-St-Philadelphia-PA-19147/244628407_zpid/,06-23-2022_21:18:45,244628407,Open: Sat. 11am-2pm
1700 N 25th St,Philadelphia,PA,19121,"$949,900",6,6,"4,425",39.9811,-75.175865,Multi-family home for sale,https://www.zillow.com/homedetails/1700-N-25th-St-Philadelphia-PA-19121/67363218_zpid/,06-23-2022_21:18:45,67363218,3 days on Zillow
4041 Glendale St,Philadelphia,PA,19124,"$185,000",3,1,"1,008",40.00839,-75.100975,Townhouse for sale,https://www.zillow.com/homedetails/4041-Glendale-St-Philadelphia-PA-19124/10340098_zpid/,06-23-2022_21:18:45,10340098,4 days on Zillow
4238 Neilson St,Philadelphia,PA,19124,"$214,900",3,1,"1,200",40.01108,-75.09736,Townhouse for sale,https://www.zillow.com/homedetails/4238-Neilson-St-Philadelphia-PA-19124/10340709_zpid/,06-23-2022_21:18:45,10340709,Price cut: $100 (Jun 23)
1708 S 21st St,Philadelphia,PA,19145,"$325,000",3,2,"1,450",39.93049,-75.18035,Townhouse for sale,https://www.zillow.com/homedetails/1708-S-21st-St-Philadelphia-PA-19145/10367010_zpid/,06-23-2022_21:18:45,10367010,4 days on Zillow
2349 Gerritt St,Philadelphia,PA,19146,"$200,000",4,3,"1,064",39.934666,-75.183945,New construction,https://www.zillow.com/homedetails/2349-Gerritt-St-Philadelphia-PA-19146/10367181_zpid/,06-23-2022_21:18:45,10367181,4 days on Zillow
2339 N Camac St,Philadelphia,PA,19133,"$225,000",3,2,"1,084",39.988285,-75.15281,Townhouse for sale,https://www.zillow.com/homedetails/2339-N-Camac-St-Philadelphia-PA-19133/10374533_zpid/,06-23-2022_21:18:45,10374533,4 days on Zillow
2341 N Camac St,Philadelphia,PA,19133,"$225,000",3,2,"1,084",39.988323,-75.1528,Townhouse for sale,https://www.zillow.com/homedetails/2341-N-Camac-St-Philadelphia-PA-19133/10374534_zpid/,06-23-2022_21:18:45,10374534,4 days on Zillow
3554 New Queen St,Philadelphia,PA,19129,"$385,000",3,2,"1,542",40.012028,-75.191444,Townhouse for sale,https://www.zillow.com/homedetails/3554-New-Queen-St-Philadelphia-PA-19129/10382330_zpid/,06-23-2022_21:18:45,10382330,Open: Sun. 1-3pm
2817 S 13th St,Philadelphia,PA,19148,"$479,000",3,2,"1,546",39.91462,-75.16943,Townhouse for sale,https://www.zillow.com/homedetails/2817-S-13th-St-Philadelphia-PA-19148/10399469_zpid/,06-23-2022_21:18:45,10399469,Open: Sat. 11am-2pm
5836 Springfield Ave,Philadelphia,PA,19143,"$399,900",3,4,"2,574",39.93583,-75.230545,House for sale,https://www.zillow.com/homedetails/5836-Springfield-Ave-Philadelphia-PA-19143/10400484_zpid/,06-23-2022_21:18:45,10400484,Open: Sun. 1-3pm
4617 Lancaster Ave,Philadelphia,PA,19131,"$300,000",-,-,"2,220",39.9708,-75.21422,Multi-family home for sale,https://www.zillow.com/homedetails/4617-Lancaster-Ave-Philadelphia-PA-19131/122059830_zpid/,06-23-2022_21:18:45,122059830,4 days on Zillow
6614 N Bouvier St,Philadelphia,PA,19126,"$250,000",4,-,"1,262",40.054775,-75.147255,Multi-family home for sale,https://www.zillow.com/homedetails/6614-N-Bouvier-St-Philadelphia-PA-19126/165112448_zpid/,06-23-2022_21:18:45,165112448,4 days on Zillow
3816 Olive St,Philadelphia,PA,19104,"$129,000",2,1,"1,004",39.96605,-75.198425,Townhouse for sale,https://www.zillow.com/homedetails/3816-Olive-St-Philadelphia-PA-19104/165180126_zpid/,06-23-2022_21:18:45,165180126,4 days on Zillow
2601 S Dewey St,Philadelphia,PA,19142,"$280,000",1,1,"1,542",39.92452,-75.223694,Townhouse for sale,https://www.zillow.com/homedetails/2601-S-Dewey-St-Philadelphia-PA-19142/165276668_zpid/,06-23-2022_21:18:45,165276668,4 days on Zillow
113 S Van Pelt St,Philadelphia,PA,19103,"$3,375,000",4,6,"5,000",39.95126,-75.17629,Townhouse for sale,https://www.zillow.com/homedetails/113-S-Van-Pelt-St-Philadelphia-PA-19103/165607756_zpid/,06-23-2022_21:18:45,165607756,4 days on Zillow
1527 Kater St,Philadelphia,PA,19146,"$1,425,000",4,4,"2,484",39.943478,-75.1677,New construction,https://www.zillow.com/homedetails/1527-Kater-St-Philadelphia-PA-19146/2062695280_zpid/,06-23-2022_21:18:45,2062695280,Open: Sun. 12-2pm
1817 N 6th St,Philadelphia,PA,19122,"$2,600,000",,,,39.979153,-75.144264,Lot / Land for sale,https://www.zillow.com/homedetails/1817-N-6th-St-Philadelphia-PA-19122/2062696113_zpid/,06-23-2022_21:18:45,2062696113,4 days on Zillow
2101 Chestnut St APT 1109,Philadelphia,PA,19103,"$154,900",,1,465,39.952618,-75.17576,Condo for sale,https://www.zillow.com/homedetails/2101-Chestnut-St-APT-1109-Philadelphia-PA-19103/2062701726_zpid/,06-23-2022_21:18:45,2062701726,4 days on Zillow
1612 Cambridge St #401,Philadelphia,PA,19130,"$459,900",2,2,"1,000",,,New construction,https://www.zillow.com/homedetails/1612-Cambridge-St-401-Philadelphia-PA-19130/2066373414_zpid/,06-23-2022_21:18:45,2066373414,4 days on Zillow
5037 Chestnut St,Philadelphia,PA,19139,"$129,000",4,1,"1,760",39.95841,-75.22255,House for sale,https://www.zillow.com/homedetails/5037-Chestnut-St-Philadelphia-PA-19139/10540563_zpid/,06-23-2022_21:18:45,10540563,5 days on Zillow
2437 Jasper St,Philadelphia,PA,19125,"$549,900",4,3,--,39.985714,-75.12998,Townhouse for sale,https://www.zillow.com/homedetails/2437-Jasper-St-Philadelphia-PA-19125/118356567_zpid/,06-23-2022_21:18:45,118356567,"Price cut: $50,000 (Jun 23)"
2025 S 5th St,Philadelphia,PA,19148,"$365,000",3,2,"1,564",39.92296,-75.15474,Multi-family home for sale,https://www.zillow.com/homedetails/2025-S-5th-St-Philadelphia-PA-19148/165263924_zpid/,06-23-2022_21:18:45,165263924,5 days on Zillow
6835 Chester Ave,Philadelphia,PA,19142,"$159,000",2,2,"1,188",39.92564,-75.243286,Multi-family home for sale,https://www.zillow.com/homedetails/6835-Chester-Ave-Philadelphia-PA-19142/165280051_zpid/,06-23-2022_21:18:45,165280051,5 days on Zillow
268 Harvey St,Philadelphia,PA,19144,"$385,000",3,3,"2,793",40.03469,-75.181854,Multi-family home for sale,https://www.zillow.com/homedetails/268-Harvey-St-Philadelphia-PA-19144/165399851_zpid/,06-23-2022_21:18:45,165399851,5 days on Zillow
